['259', '162', '358', '389', '66', '7', '21', '181', '344', '364']
['47', '393', '388', '227', '379', '274', '391', '17', '36', '143']
['15', '315', '11', '206', '376', '115', '359', '304', '224', '258']
['10', '147', '215', '29', '142', '103', '146', '209', '353', '53']
['303', '374', '6', '345', '214', '77', '363', '93', '41', '27']
['48', '98', '326', '161', '52', '195', '282', '116', '294', '24']
['148', '114', '89', '65', '125', '356', '269', '96', '46', '229']
['318', '287', '281', '72', '163', '399', '245', '254', '219', '73']
['153', '177', '84', '262', '168', '123', '117', '298', '266', '260']
['352', '236', '132', '203', '211', '16', '26', '82', '182', '64']
['275', '186', '296', '60', '144', '361', '0', '189', '101', '152']
['351', '178', '91', '104', '150', '268', '332', '346', '139', '156']
['336', '273', '243', '253', '329', '340', '300', '67', '210', '278']
['80', '397', '378', '56', '261', '133', '380', '223', '204', '283']
['369', '321', '201', '124', '225', '86', '180', '286', '140', '239']
['226', '118', '263', '78', '121', '367', '31', '276', '166', '290']
['333', '45', '292', '14', '309', '160', '120', '34', '301', '170']
['338', '328', '74', '76', '8', '173', '175', '179', '113', '310']
['149', '371', '394', '136', '370', '373', '63', '13', '59', '130']
['18', '137', '246', '81', '44', '198', '5', '111', '1', '213']
['317', '256', '247', '257', '331', '350', '308', '110', '184', '145']
['172', '349', '138', '396', '395', '22', '187', '95', '171', '85']
['347', '289', '141', '383', '61', '299', '238', '32', '105', '355']
['35', '348', '33', '106', '322', '83', '196', '277', '271', '197']
['42', '264', '335', '54', '216', '323', '30', '354', '70', '202']
['233', '291', '92', '314', '325', '169', '194', '9', '205', '164']
['94', '128', '122', '71', '39', '109', '398', '222', '272', '339']
['334', '158', '200', '165', '306', '190', '218', '244', '360', '154']
['362', '270', '288', '40', '248', '313', '112', '188', '55', '235']
['193', '280', '20', '231', '279', '50', '240', '208', '384', '2']
['330', '342', '221', '126', '217', '386', '382', '127', '267', '320']
['337', '285', '242', '390', '19', '375', '319', '234', '343', '191']
['176', '392', '51', '23', '265', '49', '249', '155', '365', '212']
['297', '366', '341', '192', '25', '381', '37', '302', '87', '88']
['252', '185', '312', '102', '387', '207', '368', '174', '293', '316']
['28', '75', '4', '79', '12', '57', '43', '107', '135', '255']
['385', '3', '99', '228', '307', '324', '372', '68', '357', '305']
['100', '62', '220', '311', '97', '157', '119', '232', '183', '151']
['284', '108', '241', '58', '377', '134', '69', '230', '295', '237']
['327', '129', '251', '199', '159', '131']
['250', '90', '38', '167']
