['120', '344', '343', '292', '109', '293', '190', '164', '336', '104', '83', '35', '339', '335', '151', '246']
['316', '345', '347', '129', '107', '34', '23', '187', '224', '165', '233', '59', '112', '209', '117', '113']
['76', '295', '99', '372', '381', '326', '195', '177', '121', '1', '302', '178', '265', '101', '296', '119']
['156', '340', '192', '272', '207', '51', '147', '28', '366', '57', '367', '330', '215', '106', '12', '239']
['100', '342', '349', '213', '218', '126', '393', '249', '337', '388', '364', '338', '300', '392', '313', '67']
['355', '341', '36', '329', '380', '222', '206', '8', '240', '285', '196', '7', '95', '136', '291', '166']
['40', '297', '294', '199', '176', '387', '324', '280', '395', '325', '308', '123', '80', '307', '90', '5']
['146', '298', '275', '98', '60', '93', '148', '84', '263', '391', '205', '255', '284', '278', '288', '31']
['323', '346', '105', '39', '137', '385', '315', '26', '17', '54', '327', '198', '241', '318', '384', '130']
['204', '191', '271', '135', '279', '102', '219', '47', '314', '371', '62', '253', '150', '61', '145', '243']
['304', '270', '378', '82', '365', '155', '212', '399', '10', '169', '46', '334', '127', '362', '214', '248']
['389', '290', '108', '144', '379', '72', '228', '21', '281', '257', '227', '38', '142', '11', '309', '73']
['132', '299', '193', '331', '289', '131', '283', '91', '229', '9', '356', '203', '96', '273', '200', '13']
['92', '348', '6', '20', '188', '208', '53', '88', '180', '162', '29', '110', '396', '182', '301', '400']
['133', '197', '276', '370', '223', '303', '382', '377', '250', '114', '32', '81', '369', '175', '87', '234']
['22', '333', '143', '4', '268', '244', '375', '181', '44', '231', '139', '170', '141', '65', '232', '184']
['70', '194', '103', '140', '85', '157', '25', '269', '71', '161', '172', '75', '282', '189', '306', '259']
['78', '30', '332', '58', '111', '277', '368', '24', '264', '353', '361', '171', '45', '210', '287', '247']
['52', '94', '97', '305', '43', '252', '149', '116', '274', '202', '115', '310', '124', '174', '42', '217']
['160', '33', '390', '79', '41', '118', '352', '125', '55', '383', '238', '77', '153', '56', '376', '159']
['48', '237', '138', '18', '74', '66', '394', '128', '262', '69', '2', '242', '357', '235', '312', '15']
['321', '230', '19', '211', '220', '286', '398', '185', '260', '311', '152', '154', '363', '317', '359', '27']
['236', '134', '63', '86', '360', '225', '354', '256', '168', '319', '167', '322', '14', '350', '328', '266']
['374', '216', '267', '201', '226', '245', '16', '254', '68', '50', '158', '351', '386', '64', '3', '373']
['37', '163', '261', '320', '258', '49', '179', '173', '183', '186', '89', '397', '122', '221', '358', '251']
