['371', '130', '340', '444', '39', '333', '6', '455', '315', '390', '118', '493', '47', '322', '321', '280', '363', '408', '308', '185', '127', '129', '485']
['165', '341', '52', '62', '73', '351', '70', '227', '236', '87', '345', '346', '343', '298', '299', '296', '297', '295', '290', '194', '196', '191', '190']
['67', '305', '38', '37', '338', '330', '147', '143', '20', '179', '171', '182', '180', '325', '122', '386', '58', '112', '119', '488', '45', '439', '93']
['154', '498', '234', '320', '291', '271', '272', '275', '276', '447', '445', '109', '102', '103', '100', '101', '107', '105', '31', '36', '438', '436', '433']
['198', '204', '278', '92', '174', '170', '11', '301', '65', '166', '464', '430', '431', '335', '337', '332', '0', '91', '95', '94', '96', '238', '235']
['344', '27', '279', '237', '492', '25', '380', '213', '84', '418', '302', '352', '51', '120', '123', '169', '184', '420', '173', '286', '97', '230', '231']
['368', '202', '441', '233', '89', '458', '17', '115', '168', '389', '470', '422', '342', '348', '449', '32', '99', '141', '404', '378', '372', '246', '241']
['48', '377', '1', '29', '66', '53', '7', '481', '232', '144', '149', '132', '131', '499', '494', '497', '26', '21', '22', '23', '28', '407', '403']
['374', '331', '292', '199', '429', '183', '42', '306', '457', '133', '406', '405', '329', '161', '142', '140', '495', '490', '24', '401', '373', '375', '376']
['148', '229', '274', '440', '104', '30', '434', '90', '146', '135', '134', '491', '409', '392', '452', '387', '462', '355', '423', '424', '304', '40', '225']
['446', '205', '294', '193', '443', '108', '454', '188', '189', '15', '18', '311', '50', '414', '366', '215', '5', '388', '220', '44', '358', '402', '394']
['262', '395', '83', '85', '245', '244', '247', '243', '242', '248', '451', '453', '456', '177', '175', '172', '253', '2', '186', '13', '12', '14', '16']
['137', '33', '197', '273', '277', '448', '339', '450', '116', '251', '324', '367', '360', '469', '77', '72', '71', '437', '427', '474', '370', '432', '385']
['176', '19', '323', '328', '201', '200', '207', '206', '208', '76', '75', '74', '79', '8', '121', '125', '126', '128', '415', '417', '410', '413', '419']
['288', '349', '152', '212', '312', '218', '110', '69', '181', '399', '398', '496', '327', '145', '466', '124', '106', '35', '34', '416', '477', '435', '319']
['138', '318', '313', '310', '317', '316', '314', '139', '3', '364', '365', '362', '361', '381', '382', '384', '61', '64', '68', '250', '256', '257', '254']
['59', '113', '270', '336', '400', '396', '459', '412', '461', '54', '153', '300', '255', '468', '465', '467', '164', '163', '9', '356', '354', '353', '350']
['480', '460', '216', '217', '214', '210', '211', '289', '4', '281', '282', '285', '284', '263', '267', '266', '264', '268', '55', '63', '252', '117', '428']
['442', '326', '347', '293', '195', '192', '82', '86', '240', '178', '187', '259', '482', '283', '287', '309', '269', '167', '78', '57', '472', '411', '260']
['56', '265', '421', '425', '426', '303', '307', '228', '226', '224', '223', '222', '221', '114', '88', '151', '150', '155', '157', '159', '158', '80', '81']
['209', '249', '334', '98', '239', '379', '393', '391', '397', '203', '383', '156', '463', '219', '162', '369', '160', '359', '49', '46', '43', '489', '487']
['111', '261', '10', '258', '136', '60', '357', '41', '486', '484', '483', '473', '471', '476', '475', '478', '479']
