['230', '227', '231', '239']
['288', '0', '2', '3']
['420', '417', '429', '424']
['240', '245', '233', '247']
['360', '7', '8', '12']
['22', '17', '19', '31']
['256', '261', '249', '257']
['453', '441', '448', '449']
['485', '473', '481', '476']
['14', '9', '11', '15']
['421', '416', '13', '20']
['190', '185', '187', '191']
['329', '332', '334', '333']
['225', '228', '229', '237']
['100', '24', '26', '29']
['275', '278', '273', '279']
['422', '419', '35', '36']
['369', '372', '374', '381']
['157', '145', '153', '159']
['16', '21', '40', '43']
['265', '268', '270', '269']
['300', '297', '302', '309']
['391', '382', '386', '390']
['84', '81', '86', '85']
['189', '177', '184', '181']
['494', '489', '491', '495']
['32', '44', '51', '60']
['380', '377', '64', '72']
['364', '361', '366', '363']
['311', '306', '310', '305']
['97', '102', '101', '109']
['67', '70', '79', '77']
['371', '76', '80', '82']
['409', '412', '414', '413']
['215', '213', '201', '208']
['490', '83', '92', '106']
['433', '436', '438', '437']
['323', '326', '321', '327']
['195', '111', '114', '116']
['144', '149', '137', '140']
['65', '68', '69', '57']
['128', '133', '129', '135']
['105', '108', '110', '117']
['284', '281', '286', '283']
['432', '120', '122', '123']
['373', '368', '375', '370']
['345', '348', '350', '349']
['71', '66', '127', '130']
['335', '330', '132', '139']
['74', '148', '154', '163']
['241', '244', '246', '253']
['151', '142', '146', '150']
['104', '168', '169', '170']
['475', '478', '479', '474']
['308', '171', '172', '175']
['37', '25', '33', '28']
['200', '176', '178', '180']
['291', '294', '289', '303']
['465', '468', '469', '477']
['75', '78', '73', '87']
['214', '209', '211', '223']
['138', '143', '186', '188']
['52', '49', '54', '61']
['250', '255', '254', '251']
['141', '136', '192', '204']
['147', '212', '218', '219']
['431', '426', '430', '425']
['295', '290', '224', '226']
['338', '343', '341', '342']
['318', '313', '315', '316']
['62', '63', '232', '234']
['58', '235', '236', '238']
['216', '221', '217', '222']
['487', '482', '486', '483']
['96', '242', '243', '248']
['480', '252', '258', '264']
['470', '471', '462', '466']
['98', '266', '267', '274']
['134', '131', '276', '298']
['389', '385', '388', '397']
['1', '4', '6', '5']
['365', '353', '367', '358']
['99', '299', '304', '307']
['259', '262', '263', '271']
['337', '340', '320', '322']
['56', '324', '325', '328']
['164', '161', '166', '173']
['293', '331', '336', '339']
['59', '344', '346', '347']
['206', '203', '207', '202']
['301', '296', '351', '355']
['492', '356', '362', '376']
['205', '193', '196', '197']
['292', '378', '379', '383']
['93', '88', '89', '95']
['112', '384', '387', '392']
['47', '38', '42', '45']
['423', '418', '394', '395']
['121', '124', '126', '125']
['155', '158', '167', '162']
['53', '41', '48', '46']
['23', '18', '396', '398']
['55', '50', '399', '402']
['260', '403', '404', '406']
['220', '407', '408', '410']
['107', '411', '415', '428']
['152', '434', '435', '439']
['405', '393', '400', '401']
['156', '440', '442', '443']
['103', '94', '91', '444']
['182', '179', '183', '174']
['285', '280', '287', '282']
['10', '445', '446', '447']
['210', '450', '451', '452']
['427', '454', '455', '456']
['90', '457', '458', '459']
['198', '199', '194', '460']
['272', '277', '461', '463']
['165', '160', '464', '472']
['118', '113', '115', '119']
['359', '354', '357', '352']
['39', '30', '34', '27']
['467', '484', '488', '493']
['319', '314', '317', '312']
