['40', '73', '357', '92', '268']
['19', '252', '361', '116', '263']
['419', '54', '214', '15', '426']
['272', '114', '186', '195', '328']
['89', '44', '71', '181', '472']
['247', '6', '8', '29', '33']
['219', '290', '409', '344', '104']
['172', '388', '207', '220', '5']
['210', '158', '399', '159', '202']
['206', '23', '24', '31', '367']
['476', '28', '471', '90', '485']
['394', '34', '91', '302', '316']
['318', '57', '141', '196', '226']
['377', '45', '118', '188', '423']
['406', '36', '193', '267', '325']
['391', '242', '465', '138', '240']
['364', '30', '126', '473', '475']
['450', '299', '347', '35', '52']
['296', '190', '244', '376', '88']
['145', '401', '373', '20', '293']
['486', '39', '66', '157', '131']
['123', '308', '175', '179', '56']
['451', '102', '499', '335', '125']
['346', '372', '142', '330', '216']
['352', '62', '68', '69', '76']
['298', '21', '434', '461', '204']
['371', '9', '166', '180', '265']
['239', '64', '122', '255', '169']
['168', '77', '78', '79', '84']
['422', '95', '370', '136', '301']
['150', '82', '387', '413', '211']
['334', '386', '411', '139', '87']
['236', '215', '96', '98', '105']
['280', '2', '155', '227', '7']
['455', '1', '112', '424', '3']
['435', '25', '407', '369', '152']
['359', '106', '110', '119', '120']
['274', '306', '395', '198', '285']
['189', '182', '291', '484', '86']
['362', '167', '392', '61', '441']
['108', '100', '93', '337', '488']
['163', '117', '174', '232', '287']
['234', '49', '128', '130', '135']
['277', '374', '134', '143', '146']
['17', '97', '43', '243', '132']
['437', '149', '156', '161', '183']
['164', '11', '37', '60', '332']
['289', '153', '350', '314', '129']
['378', '360', '194', '197', '199']
['315', '27', '46', '303', '200']
['468', '245', '336', '80', '203']
['275', '208', '218', '221', '225']
['12', '278', '487', '154', '271']
['233', '229', '230', '231', '235']
['495', '418', '0', '173', '492']
['402', '32', '50', '279', '53']
['67', '382', '412', '438', '241']
['481', '246', '248', '249', '250']
['48', '256', '258', '259', '260']
['170', '458', '257', '436', '51']
['448', '41', '72', '65', '339']
['253', '144', '429', '321', '431']
['111', '300', '261', '262', '264']
['85', '75', '81', '213', '415']
['165', '74', '251', '358', '483']
['417', '281', '297', '307', '310']
['490', '496', '326', '397', '103']
['217', '10', '99', '121', '292']
['408', '201', '228', '304', '329']
['309', '223', '452', '428', '311']
['295', '286', '381', '323', '383']
['254', '348', '276', '430', '124']
['133', '140', '312', '317', '319']
['400', '47', '222', '421', '379']
['313', '94', '151', '305', '442']
['224', '109', '162', '284', '453']
['59', '320', '322', '331', '333']
['477', '327', '273', '14', '42']
['494', '38', '171', '385', '467']
['191', '83', '176', '425', '351']
['396', '184', '192', '393', '454']
['187', '147', '237', '340', '341']
['432', '148', '343', '354', '404']
['115', '324', '266', '445', '405']
['22', '212', '482', '416', '294']
['178', '238', '479', '137', '342']
['283', '345', '353', '356', '363']
['390', '70', '498', '365', '366']
['338', '55', '375', '380', '384']
['355', '16', '107', '270', '427']
['474', '185', '58', '177', '403']
['288', '398', '410', '414', '420']
['389', '4', '13', '63', '282']
['26', '18', '443', '446', '205']
['368', '433', '439', '440', '444']
['209', '447', '449', '456', '457']
['113', '459', '462', '463', '464']
['160', '127', '470', '349', '460']
['269', '466', '469', '478', '480']
['101', '489', '491', '493', '497']
