['277', '0', '2', '3', '4', '10', '49', '79', '102', '149', '223', '232', '294', '384', '497', '32', '34', '158', '81', '391', '422', '371', '349']
['417', '6', '43', '62', '86', '97', '98', '104', '358', '145', '160', '244', '405', '178', '214', '7', '143', '245', '495', '146', '136', '254', '13']
['68', '5', '17', '18', '31', '53', '209', '264', '36', '142', '314', '316', '370', '91', '96', '476', '88', '92', '121', '255', '139', '282', '273']
['189', '8', '9', '11', '82', '120', '266', '298', '446', '474', '94', '395', '399', '453', '172', '345', '27', '193', '361', '87', '229', '272', '285']
['123', '1', '14', '21', '22', '38', '201', '429', '105', '262', '441', '477', '33', '85', '271', '380', '69', '171', '131', '224', '348', '466', '270']
['119', '16', '30', '47', '66', '99', '129', '318', '137', '173', '179', '304', '379', '194', '203', '456', '109', '382', '259', '101', '141', '317', '151']
['58', '20', '23', '60', '103', '155', '227', '331', '406', '413', '471', '263', '267', '113', '465', '494', '444', '308', '335', '420', '162', '461', '367']
['19', '24', '29', '35', '37', '64', '278', '44', '73', '148', '153', '403', '28', '190', '260', '475', '407', '311', '197', '416', '438', '51', '111']
['496', '41', '48', '61', '76', '291', '419', '56', '211', '325', '355', '481', '427', '93', '350', '157', '196', '290', '215', '491', '354', '470', '362']
['396', '25', '26', '108', '133', '326', '70', '118', '200', '373', '212', '415', '147', '55', '424', '134', '150', '127', '439', '342', '357', '206', '431']
['247', '40', '65', '100', '117', '192', '329', '434', '83', '95', '183', '293', '299', '110', '332', '336', '450', '283', '377', '240', '246', '107', '276']
['387', '39', '67', '130', '208', '122', '174', '315', '393', '261', '195', '235', '161', '463', '177', '353', '184', '275', '199', '436', '72', '483', '50']
['233', '52', '59', '112', '135', '180', '338', '454', '213', '363', '410', '375', '482', '243', '394', '486', '488', '398', '408', '437', '152', '217', '205']
['12', '46', '63', '71', '249', '295', '242', '366', '473', '128', '140', '202', '445', '442', '418', '75', '124', '159', '218', '309', '220', '411', '330']
['449', '54', '74', '182', '457', '484', '241', '490', '341', '168', '369', '154', '216', '301', '237', '435', '185', '455', '303', '343', '432', '169', '228']
['77', '116', '125', '132', '253', '333', '489', '340', '360', '204', '404', '106', '328', '288', '397', '458', '310', '499', '313', '250', '412', '372', '351']
['389', '45', '90', '166', '239', '383', '186', '312', '356', '170', '300', '386', '163', '280', '414', '269', '319', '433', '376', '236', '472', '364', '479']
['15', '42', '80', '230', '144', '402', '443', '347', '286', '258', '478', '126', '238', '426', '374', '464', '390', '234', '257', '268', '451', '156', '327']
['306', '57', '167', '430', '165', '187', '388', '281', '421', '322', '428', '365', '339', '181', '440', '493', '320', '344', '84', '492', '400', '459', '352']
['409', '114', '297', '115', '334', '447', '251', '392', '487', '279', '265', '485', '467', '452', '207', '425', '225', '324', '188', '219', '252', '378', '462']
['368', '138', '284', '210', '175', '289', '385', '423', '460', '231', '274', '321', '448', '469', '401', '248', '498', '307', '222', '468', '359', '176', '323']
['346', '164', '191', '198', '256', '292', '480', '337', '381', '287', '302', '226', '221']
['78', '89', '296', '305']
