['127', '0', '3', '4', '5', '6', '7', '8', '10', '11', '12', '15', '16', '19', '20', '21']
['22', '1', '9', '14', '18', '93', '62', '142', '239', '33', '189', '151', '203', '101', '211', '30']
['89', '2', '17', '26', '27', '28', '29', '31', '36', '37', '41', '45', '47', '50', '51', '57']
['88', '13', '24', '25', '34', '35', '38', '39', '40', '42', '43', '44', '46', '53', '55', '58']
['109', '32', '48', '52', '56', '59', '60', '61', '64', '66', '67', '68', '72', '73', '74', '76']
['199', '54', '63', '65', '69', '70', '75', '78', '79', '80', '81', '84', '86', '87', '92', '96']
['49', '191', '196', '106', '146', '95', '208', '123', '252', '85', '225', '137', '230', '209', '232', '228']
['177', '71', '77', '82', '90', '94', '97', '99', '100', '107', '108', '110', '112', '114', '115', '120']
['248', '83', '91', '98', '102', '103', '104', '116', '117', '118', '121', '122', '124', '126', '128', '130']
['105', '214', '229', '250', '253', '213', '192', '246', '216', '138', '173', '125', '136', '166', '162', '237']
['200', '113', '119', '129', '132', '133', '139', '140', '141', '143', '144', '148', '150', '152', '154', '155']
['175', '134', '135', '145', '147', '149', '153', '156', '158', '159', '165', '167', '168', '169', '172', '184']
['163', '131', '157', '160', '161', '231', '210', '220', '233', '217', '226', '234', '188', '227', '238', '190']
['193', '164', '170', '171', '174', '176', '179', '180', '181', '185', '186', '187', '242', '236', '202', '255']
['111', '218', '243', '206', '212', '201', '221', '197', '235', '244', '198', '247', '245', '241', '183', '254']
['23', '224', '240', '205', '207', '222', '178', '195', '251', '215', '223', '204', '182', '249', '219', '194']
