['401', '0', '6', '12', '13', '15', '59', '103', '333', '367', '30', '32', '99', '302', '309', '398', '163', '414', '470', '131', '400', '416', '454']
['210', '2', '7', '10', '16', '29', '35', '119', '127', '169', '215', '62', '113', '328', '371', '466', '346', '18', '294', '326', '349', '57', '244']
['219', '3', '5', '8', '19', '23', '75', '117', '270', '284', '413', '58', '112', '147', '256', '263', '324', '265', '313', '490', '46', '332', '107']
['272', '4', '11', '21', '24', '40', '122', '145', '232', '273', '369', '239', '279', '118', '154', '218', '56', '497', '25', '203', '165', '439', '419']
['69', '9', '26', '36', '44', '60', '87', '152', '213', '234', '323', '70', '84', '63', '168', '427', '498', '50', '137', '174', '435', '310', '492']
['325', '17', '22', '42', '43', '76', '91', '101', '138', '153', '205', '148', '161', '386', '67', '128', '193', '322', '90', '191', '372', '295', '422']
['496', '14', '38', '41', '47', '49', '52', '68', '308', '312', '89', '142', '170', '172', '360', '200', '201', '314', '384', '140', '417', '120', '444']
['187', '33', '37', '51', '64', '74', '149', '285', '480', '483', '88', '370', '489', '141', '182', '425', '477', '212', '303', '331', '493', '257', '155']
['220', '20', '31', '39', '111', '132', '166', '241', '338', '343', '406', '464', '254', '54', '412', '431', '216', '330', '491', '98', '381', '471', '72']
['116', '28', '34', '48', '73', '77', '78', '110', '190', '264', '139', '160', '207', '248', '290', '251', '189', '289', '283', '450', '129', '379', '93']
['65', '45', '80', '83', '85', '92', '95', '382', '388', '468', '146', '277', '336', '460', '482', '389', '430', '339', '451', '194', '195', '287', '123']
['461', '27', '53', '55', '66', '82', '167', '173', '358', '109', '143', '229', '298', '387', '329', '340', '453', '175', '463', '240', '362', '377', '261']
['100', '61', '71', '94', '115', '158', '171', '183', '282', '177', '300', '437', '407', '180', '243', '280', '341', '242', '288', '352', '452', '327', '133']
['224', '81', '96', '105', '124', '135', '209', '231', '233', '235', '162', '274', '344', '136', '445', '473', '192', '197', '429', '436', '458', '495', '305']
['258', '79', '86', '126', '144', '237', '260', '353', '499', '181', '347', '391', '359', '361', '411', '255', '311', '335', '306', '426', '448', '486', '267']
['376', '102', '106', '114', '159', '278', '293', '296', '375', '405', '418', '307', '318', '185', '226', '104', '211', '390', '443', '268', '304', '223', '354']
['348', '121', '130', '150', '164', '250', '368', '403', '409', '433', '355', '378', '467', '415', '276', '317', '394', '402', '434', '441', '222', '301', '383']
['249', '97', '157', '196', '199', '208', '238', '271', '364', '385', '373', '392', '478', '357', '432', '246', '476', '247', '456', '321', '363', '186', '225']
['299', '108', '156', '176', '217', '230', '320', '179', '245', '351', '266', '396', '202', '438', '316', '424', '484', '297', '374', '481', '228', '204', '395']
['134', '151', '178', '184', '236', '319', '366', '275', '315', '474', '410', '423', '253', '465', '337', '214', '380', '447', '291', '440', '420', '446', '459']
['1', '125', '188', '198', '345', '393', '397', '399', '457', '262', '350', '221', '421', '469', '206', '281', '449', '227', '488', '442', '356', '487', '334']
['479', '252', '404', '286', '472', '259', '462', '292', '365', '269', '485', '455', '475', '342', '428', '494', '408']
