['344', '222', '349', '124', '10', '3', '400', '419', '391', '84']
['338', '63', '280', '21', '189', '426', '250', '304', '317', '393']
['482', '28', '163', '151', '226', '66', '25', '219', '95', '308']
['98', '354', '468', '172', '278', '221', '81', '42', '459', '352']
['399', '309', '156', '204', '260', '274', '435', '290', '488', '259']
['383', '380', '313', '465', '264', '239', '334', '217', '121', '186']
['409', '234', '242', '268', '83', '46', '139', '389', '245', '492']
['227', '94', '370', '263', '135', '401', '466', '36', '142', '257']
['299', '24', '356', '376', '447', '159', '182', '171', '188', '191']
['107', '109', '337', '467', '369', '470', '433', '272', '498', '6']
['99', '491', '13', '448', '17', '359', '481', '434', '333', '54']
['358', '306', '102', '117', '147', '195', '236', '80', '282', '229']
['497', '176', '253', '367', '26', '56', '57', '105', '346', '496']
['175', '241', '87', '62', '184', '294', '202', '1', '267', '345']
['455', '262', '361', '441', '123', '237', '407', '129', '0', '48']
['273', '231', '331', '22', '144', '365', '319', '493', '269', '155']
['133', '362', '27', '120', '5', '463', '283', '111', '68', '58']
['350', '276', '490', '471', '180', '71', '418', '43', '475', '485']
['342', '248', '90', '446', '307', '131', '374', '494', '284', '126']
['314', '215', '414', '79', '220', '442', '327', '34', '85', '115']
['19', '378', '100', '69', '443', '97', '261', '161', '64', '108']
['486', '178', '372', '157', '328', '130', '449', '311', '243', '247']
['254', '312', '410', '431', '392', '416', '216', '292', '417', '240']
['297', '371', '39', '223', '224', '296', '213', '14', '285', '199']
['4', '325', '395', '286', '122', '398', '20', '140', '235', '92']
['88', '74', '38', '420', '252', '193', '303', '244', '55', '194']
['154', '476', '368', '403', '347', '72', '86', '143', '487', '232']
['190', '436', '255', '113', '377', '210', '360', '152', '277', '145']
['9', '11', '322', '23', '287', '200', '469', '428', '478', '112']
['93', '386', '424', '164', '33', '170', '298', '355', '456', '101']
['489', '266', '336', '453', '41', '353', '125', '412', '70', '450']
['211', '484', '153', '60', '460', '394', '52', '141', '173', '288']
['18', '291', '427', '78', '438', '411', '53', '329', '76', '225']
['275', '2', '429', '8', '316', '209', '422', '295', '477', '390']
['208', '270', '45', '114', '30', '256', '218', '301', '203', '454']
['197', '233', '47', '177', '181', '128', '104', '174', '382', '119']
['375', '324', '168', '132', '32', '289', '384', '472', '425', '59']
['185', '473', '461', '35', '421', '251', '51', '91', '246', '458']
['205', '158', '127', '258', '150', '305', '249', '404', '196', '323']
['335', '430', '183', '73', '265', '445', '357', '439', '201', '405']
['474', '464', '16', '137', '162', '406', '363', '381', '167', '49']
['75', '457', '413', '166', '96', '387', '7', '228', '440', '238']
['432', '330', '146', '165', '415', '214', '187', '452', '320', '44']
['462', '61', '138', '302', '339', '480', '340', '206', '495', '483']
['29', '332', '31', '67', '373', '12', '451', '169', '230', '300']
['148', '118', '364', '179', '341', '40', '479', '402', '77', '293']
['136', '343', '318', '348', '110', '385', '160', '366', '310', '321']
['207', '212', '388', '198', '50', '326', '423', '444', '499', '351']
['315', '65', '397', '379', '37', '15', '281', '149', '437', '103']
['396', '192', '82', '271', '116', '134', '89', '279', '106', '408']
