['309', '146', '147', '148', '150', '151', '159', '152', '177', '296', '188', '403', '437', '165', '306', '450', '440', '200', '157', '366', '400', '355']
['521', '155', '160', '162', '227', '352', '217', '283', '429', '550', '277', '562', '272', '572', '273', '592', '313', '236', '320', '183', '412', '303']
['489', '149', '178', '184', '189', '210', '295', '307', '321', '477', '587', '416', '251', '577', '488', '164', '181', '239', '241', '430', '465', '497']
['551', '153', '154', '161', '244', '280', '559', '278', '589', '234', '319', '275', '560', '586', '346', '432', '619', '185', '492', '175', '591', '627']
['428', '156', '171', '267', '299', '410', '255', '342', '419', '201', '425', '431', '380', '535', '250', '240', '284', '364', '482', '369', '314', '624']
['169', '163', '172', '173', '193', '235', '269', '281', '292', '561', '263', '287', '382', '242', '417', '547', '258', '333', '476', '490', '530', '542']
['520', '168', '182', '214', '225', '371', '230', '362', '190', '415', '385', '345', '222', '404', '220', '388', '377', '436', '426', '614', '615', '224']
['529', '158', '167', '202', '231', '376', '447', '232', '557', '216', '418', '226', '372', '325', '361', '367', '373', '249', '246', '519', '498', '301']
['203', '166', '170', '174', '195', '199', '194', '206', '209', '238', '211', '192', '328', '260', '305', '262', '534', '339', '196', '197', '463', '503']
['356', '176', '215', '223', '285', '347', '336', '421', '282', '318', '518', '254', '312', '411', '351', '499', '341', '458', '610', '363', '505', '494']
['552', '179', '191', '245', '324', '584', '253', '327', '266', '543', '332', '344', '446', '409', '558', '603', '546', '393', '548', '588', '233', '392']
['537', '204', '218', '329', '383', '525', '297', '386', '565', '291', '338', '471', '268', '424', '264', '607', '359', '540', '549', '459', '340', '374']
['331', '187', '248', '252', '387', '406', '390', '394', '397', '389', '553', '399', '493', '322', '290', '443', '451', '401', '629', '573', '265', '396']
['205', '186', '208', '379', '495', '514', '628', '517', '510', '504', '271', '293', '457', '617', '289', '507', '439', '445', '623', '502', '509', '516']
['311', '180', '213', '270', '391', '300', '360', '620', '257', '330', '259', '422', '449', '261', '434', '564', '491', '508', '354', '365', '569', '357']
['597', '219', '228', '229', '286', '402', '279', '532', '384', '544', '298', '456', '605', '579', '276', '294', '621', '480', '350', '405', '481', '484']
['563', '198', '221', '316', '326', '398', '274', '414', '528', '462', '523', '337', '408', '464', '466', '467', '574', '468', '479', '580', '323', '460']
['453', '212', '368', '381', '442', '395', '438', '433', '448', '598', '582', '583', '554', '358', '349', '473', '575', '501', '611', '622', '515', '566']
['599', '256', '496', '512', '334', '486', '538', '590', '601', '545', '595', '454', '487', '522', '335', '420', '474', '475', '625', '556', '618', '470']
['506', '243', '310', '513', '541', '304', '555', '348', '612', '435', '444', '413', '581', '353', '441', '524', '570', '455', '472', '485', '568', '531']
['600', '207', '317', '343', '527', '375', '602', '500', '315', '483', '533', '626', '578', '237', '452', '370', '594', '596', '407', '288', '576', '469']
['461', '247', '378', '585', '606', '604', '423', '593', '427', '609', '539', '616', '536', '302', '511', '608', '478', '567', '613', '308', '571', '526']
