['18', '119', '116', '336', '308', '95', '143', '49', '157', '90', '220', '34', '490', '223', '237', '8']
['54', '481', '196', '65', '443', '58', '136', '353', '418', '85', '110', '194', '221', '434', '457', '435']
['315', '322', '232', '150', '266', '391', '147', '271', '36', '366', '104', '249', '73', '486', '7', '35']
['367', '171', '259', '420', '126', '26', '383', '488', '218', '306', '247', '189', '181', '231', '290', '108']
['130', '4', '381', '217', '111', '467', '280', '246', '398', '376', '461', '107', '144', '93', '215', '47']
['479', '62', '53', '378', '281', '263', '452', '89', '185', '297', '279', '444', '273', '97', '274', '379']
['165', '75', '494', '245', '330', '312', '63', '299', '40', '385', '123', '187', '305', '43', '140', '10']
['177', '253', '345', '294', '309', '242', '298', '480', '495', '235', '17', '80', '468', '416', '295', '469']
['470', '349', '362', '410', '106', '384', '216', '134', '114', '291', '238', '205', '394', '311', '465', '72']
['432', '118', '341', '262', '338', '482', '77', '483', '269', '219', '234', '264', '276', '257', '450', '361']
['430', '131', '316', '230', '352', '84', '375', '226', '50', '81', '14', '287', '386', '388', '48', '286']
['335', '66', '471', '380', '251', '373', '408', '124', '227', '288', '397', '211', '492', '334', '207', '214']
['198', '395', '45', '176', '244', '332', '224', '182', '46', '69', '127', '267', '158', '98', '342', '400']
['166', '437', '441', '5', '19', '192', '453', '6', '21', '199', '390', '74', '55', '392', '422', '195']
['103', '436', '92', '347', '339', '357', '313', '139', '428', '71', '260', '360', '478', '44', '12', '168']
['149', '363', '275', '406', '197', '426', '9', '30', '16', '137', '1', '475', '331', '25', '153', '24']
['228', '115', '487', '70', '431', '326', '15', '56', '225', '323', '358', '172', '37', '61', '343', '204']
['79', '243', '300', '193', '27', '51', '277', '233', '456', '174', '351', '39', '344', '377', '190', '413']
['156', '252', '120', '293', '359', '346', '319', '191', '474', '489', '175', '454', '412', '87', '458', '356']
['203', '393', '261', '404', '417', '236', '145', '491', '125', '278', '109', '240', '389', '462', '301', '364']
['337', '446', '148', '42', '94', '210', '472', '122', '67', '91', '64', '154', '213', '68', '348', '184']
['365', '409', '105', '201', '83', '449', '202', '440', '11', '374', '183', '52', '442', '372', '310', '419']
['282', '170', '33', '241', '82', '209', '317', '459', '382', '414', '448', '466', '20', '421', '102', '256']
['439', '387', '100', '248', '296', '285', '162', '2', '371', '460', '222', '325', '407', '484', '350', '121']
['28', '250', '155', '38', '180', '401', '59', '239', '464', '99', '369', '302', '427', '129', '152', '463']
['268', '141', '370', '32', '23', '117', '151', '320', '396', '13', '128', '254', '473', '186', '163', '270']
['423', '402', '31', '272', '57', '329', '292', '200', '229', '164', '445', '411', '289', '433', '415', '178']
['328', '355', '424', '321', '146', '135', '477', '167', '76', '307', '60', '86', '161', '284', '283', '41']
['485', '476', '78', '212', '22', '496', '112', '324', '314', '113', '405', '429', '188', '265', '132', '96']
['493', '173', '255', '403', '206', '425', '451', '303', '318', '133', '327', '159', '399', '160', '304', '258']
['340', '179', '101', '138', '169', '333', '3', '354', '447', '88', '29', '368', '142', '208', '455', '438']
