['143', '0', '11', '176', '102']
['369', '5', '25', '225', '448']
['424', '7', '100', '23', '55']
['344', '3', '200', '300', '419']
['26', '13', '41', '189', '381']
['205', '9', '87', '316', '62']
['379', '4', '128', '24', '162']
['257', '2', '10', '445', '399']
['293', '6', '47', '98', '95']
['384', '21', '148', '51', '110']
['90', '15', '44', '54', '374']
['324', '19', '130', '224', '474']
['454', '18', '57', '154', '277']
['160', '27', '46', '129', '174']
['397', '16', '114', '321', '122']
['363', '12', '155', '411', '402']
['330', '28', '67', '32', '284']
['458', '1', '40', '107', '340']
['183', '49', '111', '382', '389']
['232', '29', '86', '335', '287']
['36', '42', '77', '193', '161']
['212', '31', '170', '186', '429']
['354', '74', '139', '387', '410']
['380', '52', '177', '179', '391']
['285', '17', '96', '76', '406']
['394', '33', '66', '498', '172']
['334', '81', '101', '82', '117']
['78', '20', '202', '256', '108']
['307', '72', '304', '226', '404']
['282', '69', '112', '372', '157']
['151', '35', '84', '456', '322']
['119', '34', '80', '317', '326']
['173', '56', '70', '89', '192']
['71', '22', '97', '295', '302']
['113', '73', '197', '366', '436']
['43', '59', '92', '254', '165']
['452', '50', '64', '141', '431']
['244', '37', '233', '276', '93']
['437', '104', '194', '268', '261']
['14', '53', '145', '190', '249']
['253', '58', '65', '138', '206']
['368', '68', '133', '263', '443']
['472', '75', '245', '135', '156']
['217', '142', '163', '191', '499']
['115', '83', '229', '203', '198']
['409', '147', '167', '220', '497']
['446', '166', '207', '283', '413']
['430', '94', '153', '464', '255']
['421', '103', '132', '392', '209']
['231', '123', '252', '423', '259']
['319', '109', '219', '227', '273']
['470', '105', '144', '149', '265']
['187', '214', '266', '341', '185']
['134', '116', '315', '272', '348']
['483', '118', '181', '306', '435']
['487', '136', '243', '398', '137']
['61', '45', '124', '271', '309']
['8', '140', '184', '230', '328']
['164', '201', '373', '267', '450']
['213', '38', '290', '395', '237']
['91', '127', '239', '242', '246']
['460', '121', '279', '440', '305']
['264', '88', '182', '337', '218']
['296', '126', '146', '351', '400']
['332', '171', '178', '358', '418']
['301', '120', '216', '345', '353']
['180', '236', '438', '442', '405']
['469', '125', '333', '262', '222']
['311', '241', '310', '444', '294']
['281', '223', '270', '329', '486']
['298', '269', '349', '375', '422']
['420', '168', '250', '370', '196']
['488', '234', '299', '355', '441']
['211', '195', '336', '447', '467']
['30', '251', '396', '449', '416']
['377', '131', '158', '204', '215']
['99', '291', '362', '478', '462']
['48', '150', '175', '258', '426']
['434', '210', '288', '297', '289']
['390', '240', '314', '208', '356']
['199', '260', '292', '479', '365']
['318', '238', '415', '451', '491']
['228', '308', '323', '331', '417']
['39', '278', '376', '327', '494']
['85', '320', '401', '471', '428']
['63', '188', '247', '303', '388']
['325', '339', '386', '433', '490']
['412', '286', '378', '461', '484']
['338', '359', '425', '480', '459']
['367', '221', '275', '357', '346']
['152', '342', '383', '485', '427']
['60', '408', '453', '473', '343']
['106', '235', '371', '403', '468']
['159', '432', '493', '312', '385']
['364', '414', '477', '492', '439']
['352', '361', '457', '347', '466']
['280', '463', '476', '495', '350']
['248', '465', '360', '455']
['79', '407', '489', '274']
['169', '496', '313', '475', '481']
['482', '393']
