['191', '1', '2', '28', '31', '164', '300', '131', '231', '83', '47', '34', '470', '106', '266', '459', '215', '195', '398', '272', '427', '385']
['305', '0', '15', '62', '75', '203', '238', '132', '150', '180', '138', '8', '255', '338', '322', '69', '461', '410', '291', '10', '103', '93']
['373', '3', '4', '6', '25', '72', '225', '171', '396', '77', '153', '95', '96', '290', '107', '448', '212', '404', '242', '169', '211', '179']
['5', '42', '163', '411', '271', '303', '439', '408', '115', '253', '435', '275', '477', '267', '324', '222', '349', '308', '332', '478', '455', '122']
['458', '9', '22', '281', '29', '38', '317', '320', '65', '301', '358', '40', '63', '160', '476', '377', '100', '469', '229', '282', '307', '413']
['296', '16', '19', '24', '44', '189', '407', '329', '120', '27', '67', '126', '158', '159', '188', '235', '460', '428', '302', '133', '421', '347']
['434', '13', '17', '20', '55', '144', '436', '244', '41', '85', '140', '346', '227', '270', '468', '104', '224', '257', '389', '57', '101', '92']
['58', '12', '21', '37', '452', '91', '276', '176', '292', '265', '403', '327', '155', '344', '49', '260', '117', '262', '207', '391', '156', '110']
['11', '369', '148', '348', '230', '399', '447', '414', '451', '165', '382', '426', '483', '167', '438', '193', '315', '463', '423', '417', '286', '245']
['26', '7', '151', '277', '366', '237', '205', '350', '127', '141', '214', '239', '190', '14', '400', '64', '450', '86', '363', '201', '128', '56']
['46', '18', '32', '333', '84', '328', '325', '279', '147', '464', '425', '456', '135', '51', '209', '422', '431', '297', '259', '390', '174', '48']
['383', '23', '39', '71', '118', '252', '114', '139', '393', '241', '161', '218', '105', '59', '401', '441', '379', '136', '283', '273', '197', '278']
['78', '30', '35', '43', '149', '99', '33', '232', '172', '90', '113', '82', '323', '433', '68', '472', '289', '213', '52', '204', '152', '243']
['129', '36', '79', '80', '145', '376', '365', '378', '247', '177', '293', '306', '311', '294', '268', '372', '360', '134', '146', '356', '280', '353']
['285', '50', '60', '61', '130', '154', '186', '226', '284', '339', '258', '405', '312', '367', '94', '112', '481', '480', '449', '429', '264', '173']
['457', '73', '98', '182', '342', '89', '125', '261', '108', '206', '236', '142', '287', '88', '467', '343', '482', '406', '249', '178', '196', '402']
['416', '45', '54', '185', '202', '219', '474', '336', '246', '316', '453', '415', '432', '418', '216', '269', '462', '355', '368', '168', '254', '465']
['217', '66', '74', '81', '102', '198', '424', '208', '419', '124', '340', '361', '466', '371', '341', '392', '288', '345', '248', '388', '166', '274']
['184', '76', '97', '334', '181', '183', '454', '192', '357', '175', '412', '397', '475', '359', '298', '445', '374', '199', '309', '394', '223', '123']
['351', '53', '87', '187', '318', '354', '263', '310', '194', '437', '381', '380', '375', '137', '326', '337', '384', '321', '442', '352', '444', '234']
['70', '331', '473', '162', '220', '111', '409', '335', '228', '143', '200', '170', '233', '256', '386', '304', '471', '109', '119', '210', '313', '362']
['446', '116', '240', '440', '250', '364', '420', '157', '314', '430', '299', '121', '251', '443', '295', '387', '330', '370', '395', '319', '221', '479']
