['371', '417', '96', '398', '350', '117', '393', '281', '383', '478', '172', '169', '82', '437', '277', '190', '440', '278', '299', '349', '48', '228', '217', '454', '210']
['100', '52', '262', '352', '215', '429', '322', '75', '235', '416', '392', '45', '42', '259', '390', '288', '57', '345', '396', '465', '195', '176', '291', '179', '141']
['64', '225', '78', '479', '0', '421', '70', '329', '263', '91', '307', '462', '174', '50', '140', '178', '404', '419', '71', '209', '74', '306', '388', '337', '477']
['365', '38', '220', '145', '483', '173', '4', '66', '40', '467', '8', '408', '309', '39', '252', '369', '134', '285', '431', '499', '360', '368', '412', '162', '63']
['116', '372', '489', '81', '182', '242', '445', '413', '109', '498', '213', '475', '84', '343', '238', '420', '56', '250', '301', '103', '154', '86', '359', '59', '224']
['374', '101', '484', '216', '18', '130', '333', '338', '19', '466', '433', '131', '493', '2', '185', '458', '336', '331', '77', '207', '497', '147', '363', '453', '456']
['160', '107', '487', '289', '384', '265', '239', '450', '264', '226', '35', '311', '354', '409', '271', '480', '463', '51', '144', '282', '340', '164', '320', '95', '202']
['447', '434', '161', '441', '33', '327', '11', '7', '406', '362', '410', '83', '304', '123', '171', '3', '348', '436', '113', '136', '353', '137', '110', '470', '148']
['375', '267', '203', '449', '326', '189', '451', '452', '16', '196', '79', '294', '439', '292', '230', '128', '49', '482', '293', '126', '344', '332', '355', '395', '334']
['405', '385', '381', '108', '90', '310', '266', '92', '151', '328', '68', '120', '60', '24', '22', '25', '99', '300', '391', '448', '428', '106', '459', '211', '442']
['29', '422', '105', '165', '254', '494', '205', '41', '313', '251', '114', '435', '155', '339', '247', '366', '283', '286', '468', '438', '32', '175', '488', '302', '490']
['241', '201', '153', '218', '5', '6', '258', '152', '221', '163', '170', '377', '199', '403', '444', '54', '430', '314', '36', '46', '85', '44', '305', '139', '150']
['296', '47', '330', '76', '112', '351', '180', '357', '219', '167', '361', '212', '69', '469', '471', '272', '446', '232', '312', '231', '474', '324', '122', '427', '149']
['55', '23', '13', '249', '34', '423', '98', '492', '397', '142', '10', '379', '364', '323', '325', '485', '315', '197', '125', '21', '188', '347', '193', '223', '208']
['156', '275', '418', '317', '143', '399', '111', '495', '356', '460', '214', '240', '380', '426', '298', '376', '184', '15', '158', '273', '284', '387', '389', '400', '287']
['486', '222', '181', '118', '268', '87', '12', '31', '290', '253', '20', '72', '236', '457', '65', '303', '14', '464', '411', '394', '61', '321', '472', '67', '115']
['297', '138', '402', '132', '308', '318', '204', '407', '73', '358', '279', '342', '234', '341', '157', '257', '424', '168', '432', '256', '93', '26', '94', '243', '367']
['319', '280', '191', '496', '491', '43', '378', '260', '414', '476', '1', '183', '316', '245', '80', '346', '9', '127', '121', '269', '30', '135', '187', '229', '261']
['276', '473', '386', '58', '382', '97', '200', '28', '246', '17', '27', '370', '198', '401', '159', '102', '124', '104', '186', '227', '270', '373', '62', '119', '88']
['133', '53', '206', '146', '461', '166', '37', '244', '192', '481', '425', '443', '194', '274', '335', '255', '237', '89', '248', '233', '415', '455', '295', '129', '177']
