['662', '610', '470', '482', '123', '969', '102']
['856', '522', '150', '284', '938', '518', '436']
['596', '256', '687', '24', '632', '683', '347']
['653', '916', '699', '606', '446', '135', '146']
['124', '260', '565', '171', '413', '970', '54']
['21', '964', '402', '814', '38', '414', '51']
['133', '583', '559', '598', '218', '331', '626']
['520', '701', '323', '481', '480', '693', '943']
['869', '584', '281', '401', '438', '810', '469']
['910', '690', '673', '263', '798', '506', '968']
['219', '725', '428', '456', '117', '681', '467']
['343', '577', '493', '251', '128', '118', '757']
['764', '517', '335', '298', '65', '864', '199']
['439', '599', '958', '211', '378', '959', '553']
['870', '245', '783', '656', '376', '901', '188']
['723', '358', '204', '392', '860', '512', '568']
['443', '715', '758', '787', '195', '589', '837']
['187', '858', '99', '174', '579', '830', '604']
['387', '838', '801', '643', '855', '652', '400']
['334', '744', '887', '805', '279', '339', '877']
['508', '921', '516', '25', '213', '535', '909']
['572', '903', '129', '752', '747', '84', '14']
['539', '868', '36', '93', '459', '500', '153']
['875', '253', '119', '896', '594', '882', '111']
['898', '534', '368', '857', '488', '865', '730']
['471', '510', '377', '514', '130', '155', '441']
['962', '859', '511', '491', '813', '290', '487']
['789', '654', '373', '688', '149', '886', '709']
['839', '566', '137', '694', '217', '114', '628']
['505', '736', '965', '241', '315', '278', '272']
['67', '499', '605', '222', '244', '215', '44']
['458', '812', '892', '477', '641', '455', '70']
['20', '147', '379', '761', '490', '603', '791']
['573', '140', '143', '76', '161', '616', '904']
['254', '125', '836', '615', '255', '440', '283']
['375', '384', '460', '735', '237', '766', '732']
['41', '738', '393', '844', '367', '771', '918']
['179', '372', '182', '712', '98', '225', '667']
['325', '300', '671', '532', '312', '692', '489']
['601', '526', '527', '544', '498', '78', '42']
['825', '340', '462', '781', '352', '939', '679']
['947', '815', '678', '276', '705', '478', '524']
['226', '597', '324', '34', '61', '425', '421']
['366', '75', '956', '50', '640', '77', '717']
['463', '854', '101', '374', '306', '311', '850']
['614', '571', '833', '273', '841', '881', '946']
['296', '228', '823', '803', '545', '167', '704']
['495', '194', '289', '151', '359', '575', '867']
['866', '165', '885', '756', '184', '799', '543']
['590', '792', '304', '829', '316', '776', '928']
['292', '871', '716', '234', '203', '417', '691']
['73', '707', '750', '120', '208', '831', '196']
['116', '127', '382', '398', '912', '619', '191']
['152', '845', '239', '105', '541', '576', '322']
['507', '547', '501', '131', '706', '623', '828']
['746', '950', '908', '672', '586', '646', '519']
['713', '109', '270', '726', '3', '30', '383']
['954', '631', '5', '432', '957', '924', '285']
['318', '451', '344', '355', '247', '902', '274']
['212', '134', '587', '684', '435', '450', '360']
['370', '651', '452', '894', '173', '178', '893']
['919', '682', '409', '737', '106', '410', '381']
['793', '89', '282', '337', '350', '252', '611']
['952', '92', '423', '236', '232', '115', '933']
['104', '695', '49', '197', '154', '832', '190']
['822', '562', '90', '22', '937', '43', '878']
['897', '484', '56', '249', '734', '593', '53']
['639', '52', '230', '546', '447', '521', '936']
['202', '533', '60', '504', '74', '817', '176']
['297', '280', '422', '899', '515', '205', '592']
['231', '238', '156', '380', '542', '846', '569']
['72', '563', '19', '192', '754', '303', '782']
['71', '538', '509', '330', '676', '551', '121']
['328', '142', '29', '649', '648', '466', '408']
['291', '107', '816', '564', '17', '336', '391']
['664', '600', '698', '618', '847', '326', '917']
['852', '905', '406', '45', '703', '913', '210']
['139', '784', '476', '385', '873', '540', '872']
['386', '164', '739', '963', '27', '642', '262']
['556', '971', '967', '895', '96', '609', '69']
['645', '354', '767', '12', '389', '177', '23']
['658', '777', '345', '741', '442', '122', '267']
['942', '941', '473', '16', '158', '457', '259']
['240', '862', '148', '925', '948', '728', '37']
['349', '960', '890', '790', '840', '327', '808']
['305', '638', '9', '567', '162', '759', '220']
['591', '40', '444', '795', '474', '581', '888']
['266', '91', '261', '677', '696', '48', '308']
['181', '570', '891', '10', '364', '637', '927']
['966', '827', '416', '842', '617', '788', '342']
['206', '513', '820', '201', '185', '778', '15']
['557', '399', '186', '602', '635', '32', '636']
['718', '675', '168', '8', '86', '329', '657']
['835', '411', '935', '528', '537', '802', '390']
['175', '468', '163', '669', '940', '483', '549']
['770', '268', '286', '552', '265', '536', '264']
['772', '242', '804', '670', '453', '81', '169']
['876', '585', '708', '301', '760', '548', '861']
['26', '944', '497', '333', '748', '229', '113']
['800', '94', '299', '465', '397', '160', '620']
['807', '743', '321', '625', '395', '223', '353']
['900', '578', '797', '295', '454', '889', '660']
['449', '0', '622', '437', '689', '786', '496']
['248', '923', '702', '710', '145', '949', '407']
['47', '62', '257', '661', '613', '729', '250']
['911', '647', '396', '13', '371', '794', '79']
['233', '11', '172', '369', '774', '365', '183']
['915', '28', '235', '555', '582', '198', '479']
['426', '394', '18', '849', '277', '132', '166']
['258', '136', '930', '83', '461', '46', '819']
['419', '486', '39', '433', '310', '668', '319']
['494', '700', '686', '529', '763', '57', '724']
['431', '550', '317', '779', '445', '655', '448']
['485', '269', '427', '768', '33', '64', '880']
['561', '200', '961', '207', '665', '554', '934']
['674', '100', '753', '818', '769', '755', '749']
['332', '434', '972', '95', '848', '951', '346']
['189', '216', '58', '727', '159', '721', '953']
['309', '666', '356', '170', '821', '82', '85']
['929', '271', '294', '796', '103', '88', '558']
['663', '773', '180', '633', '762', '926', '874']
['523', '138', '680', '492', '751', '843', '627']
['906', '429', '420', '621', '287', '243', '650']
['405', '607', '742', '733', '403', '361', '59']
['55', '193', '711', '388', '720', '341', '157']
['907', '87', '853', '68', '351', '765', '314']
['112', '424', '931', '31', '97', '714', '1']
['214', '883', '302', '475', '574', '608', '209']
['35', '945', '221', '834', '824', '531', '580']
['472', '6', '624', '464', '108', '320', '227']
