['285', '159', '544', '929', '484', '197', '886', '662', '683', '287', '773', '321', '311', '954', '361', '916', '851', '387', '233', '327']
['85', '825', '746', '119', '210', '558', '93', '898', '160', '858', '582', '515', '669', '380', '960', '324', '67', '494', '215', '955']
['737', '143', '146', '527', '444', '673', '24', '457', '207', '492', '129', '259', '682', '657', '630', '522', '882', '219', '217', '802']
['332', '103', '944', '468', '350', '23', '91', '597', '348', '648', '628', '368', '211', '766', '427', '806', '881', '385', '659', '959']
['218', '961', '506', '426', '319', '709', '580', '712', '585', '827', '830', '552', '347', '845', '36', '906', '678', '199', '776', '857']
['59', '196', '139', '46', '27', '677', '681', '636', '29', '528', '565', '994', '114', '308', '203', '951', '523', '777', '981', '834']
['417', '770', '843', '653', '905', '22', '649', '547', '775', '486', '518', '553', '9', '458', '720', '594', '178', '227', '95', '568']
['957', '660', '977', '399', '913', '124', '691', '461', '273', '423', '290', '562', '633', '394', '868', '40', '128', '430', '101', '974']
['480', '764', '438', '250', '989', '813', '637', '358', '490', '111', '425', '371', '383', '918', '267', '183', '640', '120', '911', '366']
['192', '965', '910', '848', '651', '26', '723', '469', '502', '318', '359', '873', '727', '209', '349', '70', '38', '690', '79', '798']
['564', '31', '574', '578', '488', '201', '543', '109', '817', '372', '337', '497', '933', '554', '21', '614', '73', '684', '365', '687']
['473', '51', '94', '140', '632', '509', '83', '538', '223', '846', '930', '719', '749', '378', '167', '676', '706', '949', '255', '364']
['739', '92', '735', '570', '198', '990', '141', '431', '453', '153', '213', '921', '782', '928', '162', '104', '466', '625', '43', '476']
['532', '86', '747', '658', '575', '232', '866', '483', '849', '150', '253', '117', '508', '696', '780', '980', '356', '809', '148', '716']
['821', '534', '136', '548', '599', '498', '920', '714', '496', '569', '715', '33', '300', '156', '424', '593', '946', '664', '68', '45']
['854', '754', '840', '343', '540', '601', '808', '338', '240', '861', '823', '835', '184', '416', '465', '131', '924', '173', '301', '864']
['969', '753', '472', '246', '894', '757', '703', '666', '979', '639', '787', '685', '369', '643', '883', '674', '852', '7', '450', '972']
['354', '937', '655', '341', '815', '875', '467', '463', '448', '956', '909', '19', '456', '401', '340', '963', '261', '713', '702', '76']
['61', '966', '812', '89', '758', '503', '135', '992', '155', '756', '993', '820', '186', '769', '887', '524', '72', '725', '392', '479']
['952', '262', '841', '936', '743', '622', '938', '382', '236', '314', '504', '419', '17', '342', '216', '415', '257', '521', '947', '180']
['226', '525', '309', '533', '325', '711', '222', '270', '998', '374', '245', '429', '595', '762', '520', '842', '224', '193', '147', '266']
['571', '871', '258', '495', '421', '279', '462', '874', '52', '294', '312', '299', '541', '110', '353', '514', '546', '731', '357', '181']
['28', '885', '816', '130', '208', '755', '389', '908', '409', '945', '282', '661', '901', '724', '581', '656', '730', '822', '12', '164']
['689', '176', '297', '231', '693', '807', '602', '794', '145', '863', '620', '137', '242', '388', '260', '742', '163', '996', '973', '583']
['859', '106', '902', '339', '943', '721', '269', '927', '322', '904', '433', '315', '386', '397', '694', '477', '405', '941', '748', '306']
['123', '844', '16', '221', '41', '241', '545', '400', '77', '5', '768', '934', '529', '375', '708', '323', '14', '8', '62', '126']
['428', '422', '950', '774', '187', '90', '884', '265', '833', '997', '53', '619', '127', '65', '445', '803', '860', '144', '335', '0']
['750', '317', '264', '161', '752', '88', '605', '855', '967', '701', '975', '482', '447', '624', '283', '42', '561', '646', '586', '589']
['47', '935', '550', '313', '235', '352', '670', '244', '751', '560', '726', '471', '610', '277', '732', '607', '275', '151', '391', '13']
['722', '225', '995', '584', '303', '296', '736', '912', '604', '499', '588', '962', '432', '850', '832', '82', '188', '281', '58', '69']
['411', '272', '195', '786', '441', '513', '876', '81', '535', '336', '931', '795', '276', '692', '579', '810', '115', '362', '108', '932']
['271', '326', '395', '505', '169', '485', '556', '252', '78', '559', '132', '517', '280', '74', '826', '414', '418', '668', '665', '617']
['251', '177', '268', '57', '50', '2', '102', '890', '616', '346', '978', '789', '206', '688', '740', '591', '697', '611', '98', '984']
['829', '122', '671', '551', '437', '718', '510', '598', '66', '407', '792', '572', '917', '819', '563', '645', '158', '384', '97', '481']
['903', '878', '942', '577', '194', '478', '443', '728', '55', '982', '329', '888', '152', '606', '189', '229', '179', '10', '487', '263']
['390', '796', '536', '298', '700', '331', '557', '926', '406', '800', '295', '899', '971', '631', '3', '526', '779', '105', '452', '999']
['402', '704', '663', '175', '449', '831', '889', '80', '379', '396', '330', '118', '987', '638', '284', '634', '460', '289', '370', '157']
['113', '976', '142', '434', '772', '870', '862', '307', '302', '149', '376', '587', '576', '500', '542', '367', '869', '763', '759', '603']
['612', '880', '729', '953', '48', '618', '814', '767', '707', '200', '412', '30', '71', '650', '328', '893', '784', '49', '446', '988']
['355', '39', '717', '256', '64', '761', '1', '87', '744', '168', '191', '291', '170', '185', '592', '964', '791', '489', '493', '567']
['56', '765', '344', '25', '20', '134', '600', '172', '531', '914', '853', '171', '771', '654', '228', '895', '839', '986', '783', '174']
['838', '125', '381', '363', '679', '797', '781', '555', '635', '856', '310', '202', '667', '566', '896', '738', '892', '828', '442', '785']
['734', '243', '741', '675', '867', '836', '507', '220', '373', '939', '940', '274', '351', '436', '345', '804', '293', '897', '511', '212']
['99', '408', '288', '891', '166', '398', '96', '699', '455', '464', '968', '6', '459', '512', '985', '205', '54', '573', '247', '519']
['922', '680', '100', '847', '811', '75', '248', '133', '278', '991', '760', '204', '214', '642', '983', '316', '63', '590', '190', '627']
['818', '970', '154', '537', '621', '549', '615', '112', '116', '652', '837', '44', '745', '608', '107', '334', '596', '824', '32', '801']
['403', '623', '790', '491', '34', '788', '230', '865', '879', '695', '182', '138', '35', '501', '435', '672', '609', '925', '404', '60']
['393', '410', '805', '420', '474', '413', '799', '923', '915', '958', '121', '778', '733', '900', '11', '877', '377', '4', '333', '238']
['84', '613', '626', '292', '647', '539', '948', '237', '304', '18', '872', '470', '360', '907', '641', '234', '249', '475', '516', '705']
['239', '629', '710', '919', '793', '451', '454', '305', '439', '15', '686', '37', '254', '440', '530', '320', '698', '286', '165', '644']
