['672', '571', '944', '784', '577']
['157', '774', '544', '769', '729']
['311', '271', '482', '986', '597']
['821', '154', '842', '523', '832']
['595', '803', '516', '690', '717']
['938', '217', '911', '326', '537']
['558', '327', '920', '131', '585']
['114', '589', '623', '964', '993']
['365', '744', '661', '375', '486']
['611', '193', '878', '853', '881']
['101', '120', '297', '995', '763']
['655', '966', '189', '812', '554']
['700', '252', '10', '777', '780']
['448', '869', '988', '415', '921']
['740', '117', '674', '825', '426']
['765', '732', '692', '98', '794']
['145', '235', '439', '565', '465']
['746', '834', '185', '61', '104']
['267', '54', '441', '596', '894']
['511', '723', '122', '668', '416']
['180', '384', '924', '496', '432']
['330', '244', '233', '480', '970']
['778', '406', '960', '443', '759']
['867', '304', '200', '652', '146']
['108', '220', '703', '319', '754']
['931', '55', '335', '677', '20']
['256', '369', '822', '49', '845']
['688', '805', '598', '708', '7']
['289', '978', '670', '908', '199']
['795', '216', '898', '208', '793']
['151', '521', '880', '555', '782']
['380', '660', '887', '630', '194']
['153', '420', '449', '229', '731']
['973', '800', '564', '593', '928']
['361', '659', '517', '11', '454']
['561', '456', '622', '140', '23']
['817', '305', '667', '32', '78']
['590', '573', '883', '819', '728']
['72', '605', '324', '433', '582']
['281', '329', '536', '137', '698']
['166', '60', '483', '130', '518']
['653', '238', '981', '711', '682']
['408', '245', '310', '705', '489']
['421', '214', '796', '715', '824']
['127', '353', '543', '257', '464']
['147', '538', '949', '639', '103']
['713', '770', '463', '618', '328']
['261', '455', '547', '649', '13']
['291', '975', '27', '186', '947']
['816', '116', '581', '950', '226']
['158', '642', '676', '840', '942']
['766', '95', '279', '223', '739']
['283', '273', '545', '500', '96']
['344', '343', '641', '250', '66']
['141', '792', '856', '350', '657']
['734', '340', '368', '379', '422']
['447', '673', '858', '852', '865']
['419', '621', '961', '51', '785']
['954', '531', '849', '651', '431']
['210', '334', '761', '16', '348']
['450', '702', '876', '528', '503']
['161', '939', '346', '269', '956']
['488', '265', '410', '637', '654']
['211', '156', '606', '904', '861']
['337', '541', '176', '530', '3']
['290', '102', '959', '2', '398']
['446', '695', '52', '17', '749']
['124', '722', '255', '693', '862']
['940', '771', '815', '678', '280']
['578', '535', '946', '338', '115']
['225', '640', '484', '306', '178']
['526', '293', '110', '4', '757']
['666', '798', '360', '576', '498']
['601', '808', '413', '187', '444']
['364', '397', '934', '138', '619']
['381', '897', '971', '906', '720']
['974', '12', '155', '22', '302']
['707', '71', '505', '404', '272']
['28', '806', '174', '411', '347']
['26', '139', '851', '502', '836']
['718', '859', '902', '638', '82']
['910', '74', '562', '534', '407']
['458', '617', '179', '635', '620']
['609', '643', '471', '388', '962']
['429', '62', '574', '854', '41']
['831', '686', '84', '721', '112']
['602', '736', '801', '633', '868']
['890', '227', '8', '756', '514']
['776', '262', '697', '409', '648']
