['489', '192', '154', '200', '408', '134', '136', '83', '170', '157']
['15', '36', '283', '232', '24', '242', '190', '135', '281', '278']
['95', '286', '205', '230', '471', '448', '66', '12', '172', '457']
['7', '453', '87', '119', '388', '344', '89', '236', '323', '244']
['210', '129', '23', '271', '109', '296', '370', '163', '256', '293']
['13', '58', '311', '375', '476', '450', '255', '315', '497', '309']
['41', '348', '464', '446', '53', '16', '266', '427', '191', '5']
['356', '445', '337', '304', '404', '319', '452', '282', '410', '223']
['480', '43', '18', '19', '2', '469', '107', '247', '76', '112']
['174', '70', '122', '208', '96', '297', '252', '125', '153', '106']
['218', '263', '126', '239', '414', '317', '406', '97', '64', '334']
['82', '341', '212', '472', '56', '113', '399', '94', '152', '307']
['92', '4', '478', '361', '168', '231', '284', '124', '143', '114']
['20', '292', '403', '233', '93', '29', '338', '434', '299', '347']
['482', '65', '228', '384', '353', '328', '433', '352', '295', '443']
['203', '59', '30', '132', '416', '60', '116', '85', '164', '325']
['246', '74', '287', '50', '48', '358', '441', '28', '269', '313']
['131', '447', '431', '402', '215', '221', '57', '148', '333', '465']
['312', '380', '91', '493', '400', '49', '303', '275', '104', '38']
['86', '268', '180', '1', '220', '415', '459', '336', '46', '21']
['61', '118', '398', '27', '162', '496', '156', '251', '254', '123']
['288', '455', '121', '377', '75', '456', '331', '330', '360', '166']
['488', '229', '314', '308', '219', '470', '55', '189', '245', '243']
['409', '354', '137', '133', '280', '386', '207', '144', '373', '290']
['117', '383', '90', '474', '63', '487', '73', '396', '460', '437']
['468', '302', '183', '316', '198', '405', '495', '294', '401', '391']
['68', '196', '37', '102', '80', '494', '463', '322', '339', '475']
['421', '33', '340', '444', '378', '289', '466', '67', '272', '320']
['260', '211', '197', '204', '392', '346', '25', '425', '394', '77']
['178', '366', '350', '426', '206', '22', '423', '222', '6', '248']
['300', '417', '261', '369', '439', '0', '327', '298', '270', '362']
['424', '145', '235', '52', '62', '262', '267', '484', '193', '31']
['372', '265', '115', '105', '490', '367', '458', '173', '305', '8']
['47', '412', '138', '17', '381', '128', '477', '71', '274', '273']
['279', '240', '69', '428', '186', '165', '141', '492', '467', '257']
['483', '301', '177', '389', '151', '214', '436', '430', '411', '139']
['188', '140', '161', '201', '184', '72', '342', '250', '349', '179']
['9', '79', '11', '276', '110', '159', '45', '418', '111', '217']
['202', '462', '39', '237', '376', '429', '34', '35', '318', '258']
['147', '81', '374', '259', '101', '185', '127', '26', '199', '382']
['363', '54', '167', '169', '407', '479', '368', '485', '449', '10']
['387', '213', '473', '329', '499', '310', '440', '277', '343', '364']
['241', '40', '44', '481', '332', '351', '461', '420', '103', '78']
['88', '42', '422', '51', '120', '413', '149', '234', '182', '379']
['390', '142', '438', '227', '176', '238', '32', '371', '285', '158']
['454', '324', '98', '249', '226', '155', '100', '194', '321', '146']
['291', '451', '150', '355', '486', '393', '160', '187', '395', '216']
['181', '335', '365', '171', '14', '326', '385', '224', '84', '345']
['225', '195', '175', '432', '357', '108', '419', '99', '442', '253']
['209', '264', '498', '130', '397', '3', '306', '435', '359', '491']
