['551', '404', '278', '569', '860', '1', '128', '704', '611', '84']
['512', '596', '753', '241', '215', '137', '636', '849', '310', '412']
['450', '685', '389', '380', '338', '802', '143', '78', '417', '31']
['55', '998', '232', '393', '24', '844', '187', '822', '532', '197']
['710', '277', '875', '12', '357', '322', '121', '767', '976', '269']
['556', '863', '162', '786', '254', '714', '864', '889', '915', '490']
['44', '150', '236', '747', '500', '123', '957', '354', '386', '148']
['591', '686', '57', '457', '894', '715', '366', '756', '872', '155']
['722', '867', '789', '962', '173', '846', '527', '195', '205', '70']
['439', '33', '2', '159', '291', '796', '369', '615', '429', '698']
['409', '112', '430', '125', '127', '172', '119', '606', '665', '840']
['92', '16', '892', '306', '526', '534', '315', '483', '870', '72']
['453', '67', '240', '192', '160', '590', '858', '318', '17', '460']
['772', '335', '618', '181', '13', '655', '865', '696', '650', '563']
['913', '6', '478', '690', '565', '428', '235', '663', '829', '738']
['787', '638', '726', '11', '18', '649', '147', '145', '716', '434']
['376', '628', '538', '760', '720', '739', '61', '968', '392', '47']
['477', '258', '167', '905', '775', '381', '511', '877', '895', '358']
['223', '552', '20', '803', '489', '881', '214', '158', '401', '746']
['373', '59', '427', '683', '783', '413', '153', '202', '963', '856']
['561', '749', '290', '64', '904', '438', '952', '838', '484', '780']
['122', '501', '520', '836', '264', '238', '375', '185', '37', '220']
['711', '487', '996', '752', '820', '402', '25', '785', '788', '566']
['898', '635', '519', '190', '697', '458', '63', '399', '586', '944']
['471', '400', '921', '100', '843', '601', '283', '302', '893', '609']
['164', '43', '419', '737', '368', '337', '141', '74', '530', '451']
['736', '885', '298', '525', '289', '384', '605', '593', '34', '652']
['518', '216', '383', '252', '39', '382', '741', '313', '570', '476']
['275', '625', '99', '987', '997', '4', '470', '847', '472', '679']
['361', '967', '135', '755', '659', '750', '503', '321', '835', '351']
['355', '142', '38', '90', '341', '331', '300', '328', '231', '543']
['316', '273', '769', '466', '481', '62', '684', '193', '748', '725']
['326', '10', '242', '970', '645', '212', '447', '182', '828', '86']
['564', '213', '761', '979', '340', '469', '797', '506', '449', '219']
['136', '811', '151', '474', '939', '207', '848', '851', '607', '69']
['929', '175', '643', '416', '589', '251', '630', '793', '105', '687']
['734', '257', '378', '792', '349', '97', '657', '995', '862', '658']
['261', '677', '448', '728', '327', '516', '491', '730', '882', '647']
['288', '271', '305', '982', '670', '118', '931', '743', '157', '203']
['950', '579', '87', '694', '334', '680', '681', '65', '294', '418']
['632', '883', '841', '765', '821', '307', '208', '713', '156', '572']
['900', '914', '14', '940', '171', '244', '431', '93', '0', '762']
['934', '309', '850', '443', '459', '222', '320', '152', '364', '727']
['91', '48', '107', '282', '627', '879', '880', '19', '117', '703']
['198', '420', '488', '29', '499', '719', '695', '444', '922', '42']
['617', '799', '60', '513', '260', '800', '576', '953', '951', '363']
['414', '815', '776', '876', '757', '146', '505', '604', '745', '700']
['40', '281', '718', '370', '580', '688', '906', '943', '95', '50']
['853', '406', '515', '211', '126', '479', '899', '522', '124', '188']
['823', '176', '432', '183', '535', '463', '562', '456', '342', '712']
['830', '531', '818', '886', '842', '782', '766', '693', '938', '721']
['574', '544', '801', '623', '374', '452', '292', '440', '7', '597']
['536', '96', '524', '433', '555', '972', '637', '403', '622', '352']
['932', '533', '485', '268', '161', '71', '866', '233', '682', '27']
['73', '5', '575', '521', '58', '120', '286', '441', '959', '599']
['568', '163', '955', '634', '946', '9', '631', '610', '510', '600']
['918', '805', '280', '529', '168', '771', '206', '312', '969', '732']
['930', '76', '218', '130', '573', '857', '705', '239', '553', '265']
['994', '508', '742', '116', '983', '54', '927', '888', '259', '436']
['329', '779', '398', '981', '763', '826', '992', '317', '493', '473']
['598', '567', '314', '66', '980', '948', '642', '810', '702', '395']
['937', '897', '26', '189', '784', '724', '884', '387', '669', '559']
['468', '98', '495', '874', '106', '35', '986', '614', '149', '108']
['324', '717', '985', '79', '80', '517', '656', '819', '854', '798']
['584', '689', '445', '166', '250', '81', '827', '602', '274', '546']
['350', '582', '812', '923', '200', '791', '360', '442', '103', '910']
['426', '332', '956', '115', '8', '224', '852', '356', '41', '754']
['912', '977', '813', '279', '678', '270', '933', '974', '666', '177']
['654', '916', '585', '902', '539', '845', '229', '759', '424', '640']
['113', '639', '961', '667', '633', '228', '217', '49', '871', '263']
['184', '942', '833', '388', '817', '578', '346', '415', '603', '169']
['542', '660', '558', '502', '267', '691', '134', '947', '104', '547']
['548', '209', '662', '311', '770', '528', '246', '911', '839', '587']
['180', '668', '960', '907', '781', '804', '423', '367', '221', '795']
['740', '397', '672', '56', '978', '975', '425', '186', '891', '778']
['887', '966', '509', '549', '644', '201', '359', '571', '28', '170']
['641', '94', '422', '991', '249', '673', '941', '984', '909', '210']
