['631', '547', '350', '164', '213', '746', '406', '867', '188', '154', '175', '21', '347', '780', '425', '115', '232', '131', '854', '510']
['319', '755', '489', '204', '329', '44', '134', '878', '822', '601', '739', '903', '147', '694', '774', '275', '732', '86', '247', '840']
['882', '765', '577', '901', '842', '454', '422', '10', '187', '921', '799', '334', '478', '723', '633', '800', '982', '987', '161', '299']
['466', '132', '892', '724', '83', '185', '749', '138', '255', '962', '549', '745', '366', '885', '579', '452', '37', '26', '804', '430']
['17', '392', '435', '332', '103', '312', '890', '167', '58', '264', '335', '183', '60', '383', '934', '904', '956', '498', '704', '346']
['910', '65', '972', '708', '444', '789', '542', '385', '596', '9', '25', '29', '808', '844', '146', '637', '11', '696', '441', '411']
['719', '759', '990', '568', '836', '24', '150', '522', '756', '641', '552', '632', '158', '897', '832', '849', '686', '528', '520', '938']
['482', '653', '374', '695', '679', '178', '965', '575', '6', '89', '388', '979', '338', '594', '573', '556', '623', '34', '230', '211']
['657', '126', '615', '515', '217', '135', '112', '505', '169', '826', '748', '380', '105', '729', '325', '674', '313', '87', '876', '23']
['920', '111', '244', '703', '461', '398', '293', '382', '935', '436', '71', '973', '209', '191', '199', '506', '242', '879', '74', '259']
['330', '495', '678', '372', '866', '269', '741', '559', '970', '431', '558', '817', '294', '985', '572', '871', '100', '937', '156', '195']
['310', '479', '858', '627', '927', '821', '324', '743', '964', '706', '942', '725', '331', '711', '14', '59', '930', '142', '603', '914']
['911', '215', '149', '742', '295', '174', '727', '978', '606', '834', '281', '798', '881', '581', '274', '721', '754', '511', '378', '658']
['906', '907', '47', '362', '342', '457', '680', '802', '341', '936', '151', '980', '902', '476', '753', '659', '72', '420', '488', '862']
['401', '527', '288', '764', '358', '586', '957', '952', '599', '80', '394', '664', '707', '107', '30', '484', '988', '565', '351', '428']
['687', '393', '389', '130', '119', '116', '268', '747', '113', '228', '79', '738', '63', '424', '710', '933', '177', '786', '124', '773']
['530', '999', '670', '758', '455', '447', '645', '121', '993', '18', '544', '785', '395', '125', '262', '776', '521', '997', '173', '237']
['690', '0', '55', '470', '384', '248', '853', '31', '815', '287', '697', '517', '567', '796', '20', '845', '621', '137', '955', '412']
['283', '349', '861', '376', '180', '418', '260', '102', '883', '715', '139', '477', '681', '300', '243', '45', '106', '995', '176', '286']
['203', '419', '90', '272', '951', '416', '816', '593', '439', '267', '949', '42', '198', '280', '640', '307', '548', '344', '925', '252']
['181', '50', '714', '699', '225', '400', '53', '532', '828', '386', '788', '918', '99', '535', '648', '976', '566', '825', '160', '19']
['316', '929', '27', '592', '700', '226', '298', '609', '763', '809', '410', '880', '971', '345', '303', '954', '417', '790', '320', '888']
['258', '104', '824', '713', '646', '570', '231', '622', '676', '451', '276', '998', '433', '717', '563', '538', '155', '197', '602', '254']
['448', '830', '526', '429', '285', '465', '814', '665', '857', '843', '541', '408', '801', '848', '171', '894', '381', '490', '369', '613']
['539', '782', '733', '145', '837', '791', '190', '250', '109', '473', '827', '41', '396', '471', '829', '898', '368', '794', '810', '201']
['205', '534', '514', '153', '693', '120', '397', '128', '835', '246', '735', '76', '94', '236', '333', '210', '15', '928', '561', '467']
['639', '823', '701', '983', '669', '537', '16', '750', '923', '434', '68', '503', '219', '740', '323', '73', '675', '172', '961', '838']
['787', '354', '770', '253', '874', '797', '946', '292', '403', '309', '560', '12', '208', '608', '642', '992', '513', '291', '624', '562']
['390', '43', '67', '460', '81', '289', '557', '916', '305', '414', '614', '326', '666', '587', '51', '48', '947', '757', '945', '78']
['110', '769', '584', '379', '114', '363', '159', '856', '595', '598', '846', '636', '671', '772', '847', '446', '712', '583', '620', '969']
['744', '905', '977', '546', '634', '348', '677', '941', '36', '953', '339', '426', '57', '5', '108', '540', '516', '536', '35', '322']
['238', '239', '266', '908', '571', '619', '270', '212', '550', '655', '1', '895', '917', '327', '612', '841', '886', '343', '900', '265']
['726', '75', '413', '365', '278', '813', '92', '46', '117', '660', '806', '157', '661', '165', '88', '279', '617', '807', '2', '206']
['468', '551', '762', '730', '170', '122', '193', '974', '462', '580', '118', '589', '223', '227', '438', '803', '263', '492', '943', '647']
['870', '52', '207', '404', '200', '306', '302', '141', '314', '702', '224', '123', '864', '940', '688', '507', '502', '499', '812', '168']
['635', '245', '656', '367', '523', '166', '33', '296', '440', '277', '364', '179', '629', '926', '779', '682', '778', '913', '129', '833']
['643', '317', '963', '475', '301', '873', '519', '337', '588', '722', '373', '869', '28', '449', '673', '524', '8', '966', '91', '616']
['38', '662', '718', '233', '766', '136', '328', '370', '771', '182', '625', '709', '887', '415', '432', '819', '986', '97', '698', '229']
['340', '994', '734', '3', '852', '968', '357', '315', '7', '483', '240', '442', '356', '77', '811', '49', '463', '915', '555', '553']
['261', '402', '795', '932', '353', '820', '421', '672', '101', '855', '493', '683', '437', '663', '456', '996', '257', '716', '308', '525']
['543', '144', '899', '64', '859', '654', '472', '705', '939', '508', '597', '831', '56', '576', '875', '474', '512', '186', '628', '13']
['500', '582', '989', '958', '336', '950', '509', '751', '459', '650', '610', '533', '82', '889', '485', '877', '792', '959', '148', '352']
['427', '443', '777', '241', '221', '518', '249', '685', '607', '691', '626', '290', '216', '399', '760', '545', '133', '184', '531', '69']
['445', '600', '271', '321', '304', '728', '793', '585', '618', '891', '984', '630', '768', '896', '784', '96', '736', '491', '127', '781']
