['420', '800', '819', '402', '519', '369', '479', '568', '975', '563', '868', '991', '849', '146', '971', '789', '297', '896', '721', '459']
['719', '261', '314', '235', '757', '33', '669', '291', '856', '253', '311', '671', '728', '988', '655', '282', '646', '41', '572', '743']
['250', '818', '620', '995', '708', '12', '76', '197', '585', '784', '602', '439', '341', '811', '303', '506', '481', '421', '946', '878']
['824', '196', '999', '893', '352', '949', '615', '806', '296', '185', '959', '938', '885', '400', '627', '277', '704', '980', '240', '672']
['950', '353', '937', '983', '239', '753', '67', '156', '376', '62', '750', '326', '414', '16', '814', '89', '95', '588', '778', '4']
['243', '701', '78', '102', '351', '618', '117', '763', '714', '612', '189', '974', '237', '951', '751', '712', '804', '11', '643', '142']
['300', '477', '101', '756', '279', '736', '605', '517', '604', '549', '476', '163', '499', '244', '642', '370', '829', '960', '37', '581']
['96', '954', '343', '494', '71', '234', '310', '124', '263', '191', '766', '426', '147', '443', '625', '276', '469', '595', '354', '964']
['569', '151', '154', '610', '358', '551', '24', '336', '216', '368', '507', '463', '695', '444', '74', '660', '21', '218', '514', '948']
['324', '335', '35', '532', '871', '632', '367', '137', '464', '437', '54', '564', '624', '657', '56', '403', '179', '722', '638', '775']
['222', '883', '118', '125', '817', '66', '525', '58', '970', '422', '480', '119', '13', '509', '390', '887', '894', '505', '430', '906']
['342', '901', '458', '696', '836', '560', '652', '133', '462', '182', '22', '493', '905', '556', '742', '340', '911', '631', '630', '874']
['698', '229', '993', '731', '382', '0', '654', '123', '169', '958', '752', '130', '891', '213', '174', '962', '48', '138', '918', '606']
['543', '415', '693', '586', '623', '608', '377', '88', '128', '591', '592', '744', '486', '233', '153', '821', '19', '136', '316', '231']
['978', '925', '49', '475', '994', '531', '694', '246', '785', '518', '634', '315', '914', '790', '726', '92', '97', '913', '897', '934']
['83', '302', '772', '202', '651', '910', '788', '299', '6', '786', '73', '471', '29', '582', '822', '935', '567', '385', '864', '393']
['599', '248', '407', '917', '110', '323', '484', '205', '796', '281', '105', '359', '761', '973', '544', '226', '724', '224', '308', '843']
['126', '692', '787', '381', '945', '90', '272', '447', '593', '313', '14', '876', '419', '283', '432', '219', '705', '530', '877', '758']
['759', '411', '565', '641', '961', '258', '410', '374', '777', '963', '52', '396', '529', '445', '686', '554', '783', '668', '332', '322']
['921', '957', '613', '650', '545', '345', '309', '933', '171', '589', '577', '25', '520', '596', '298', '59', '491', '265', '908', '461']
['178', '924', '574', '198', '927', '858', '275', '645', '425', '762', '214', '851', '852', '637', '254', '713', '227', '857', '175', '915']
['405', '454', '10', '329', '803', '36', '747', '953', '675', '916', '977', '327', '711', '306', '26', '215', '862', '289', '898', '389']
['70', '839', '872', '899', '882', '148', '511', '636', '131', '348', '707', '881', '848', '853', '46', '981', '431', '255', '942', '732']
['828', '190', '720', '109', '164', '820', '717', '122', '100', '794', '815', '331', '607', '755', '176', '7', '161', '919', '436', '307']
['43', '534', '211', '116', '379', '723', '579', '473', '129', '333', '204', '827', '188', '943', '966', '32', '30', '132', '28', '112']
['792', '659', '536', '412', '106', '922', '502', '172', '703', '797', '699', '823', '830', '408', '594', '616', '63', '453', '746', '20']
['195', '662', '941', '474', '357', '621', '611', '845', '774', '417', '665', '492', '404', '716', '280', '715', '465', '287', '433', '409']
['767', '860', '685', '267', '77', '764', '889', '846', '526', '969', '558', '166', '956', '861', '442', '730', '60', '259', '245', '895']
['482', '42', '290', '201', '553', '648', '863', '318', '679', '40', '452', '274', '39', '523', '982', '266', '718', '688', '286', '673']
['900', '490', '542', '739', '955', '157', '768', '398', '183', '540', '69', '912', '84', '944', '619', '771', '879', '680', '397', '363']
['273', '44', '597', '68', '387', '802', '550', '559', '805', '779', '633', '167', '681', '238', '468', '139', '807', '140', '546', '795']
['733', '727', '842', '472', '489', '528', '600', '666', '162', '375', '159', '347', '217', '317', '466', '127', '548', '158', '278', '816']
['929', '27', '434', '496', '628', '603', '487', '840', '2', '104', '350', '570', '939', '689', '257', '524', '773', '902', '552', '85']
['990', '145', '180', '601', '855', '173', '141', '321', '936', '271', '186', '121', '923', '571', '392', '875', '626', '386', '114', '181']
['384', '209', '522', '113', '734', '576', '926', '782', '867', '93', '931', '460', '193', '535', '339', '833', '312', '684', '516', '446']
['223', '478', '854', '573', '61', '81', '187', '512', '305', '497', '687', '155', '423', '220', '984', '75', '667', '448', '242', '521']
['31', '362', '812', '47', '262', '690', '418', '194', '86', '65', '455', '372', '225', '813', '539', '996', '111', '429', '940', '928']
['799', '160', '143', '749', '50', '23', '584', '293', '932', '515', '498', '920', '850', '149', '424', '791', '107', '232', '3', '325']
['725', '580', '533', '575', '485', '349', '210', '614', '378', '208', '94', '206', '678', '1', '249', '170', '45', '91', '98', '346']
['510', '285', '886', '294', '639', '135', '656', '653', '555', '120', '754', '825', '5', '360', '284', '252', '658', '793', '457', '152']
['972', '288', '780', '837', '55', '292', '737', '391', '501', '504', '561', '674', '53', '888', '134', '670', '590', '9', '508', '72']
['557', '538', '798', '64', '428', '17', '260', '909', '987', '968', '236', '738', '230', '965', '583', '537', '301', '394', '388', '541']
['513', '644', '8', '683', '456', '826', '904', '207', '986', '364', '365', '470', '663', '661', '330', '890', '184', '413', '710', '810']
['740', '150', '80', '356', '566', '844', '997', '947', '834', '203', '328', '441', '706', '395', '781', '870', '664', '144', '587', '483']
['304', '640', '399', '884', '199', '115', '51', '435', '87', '380', '647', '617', '985', '760', '866', '108', '809', '295', '952', '165']
['495', '930', '808', '992', '622', '241', '221', '880', '334', '355', '264', '34', '212', '451', '401', '578', '270', '373', '770', '677']
['967', '629', '547', '729', '776', '18', '438', '500', '697', '835', '103', '371', '741', '338', '38', '702', '989', '676', '440', '765']
['337', '488', '82', '319', '841', '859', '251', '99', '79', '682', '344', '15', '269', '192', '598', '406', '892', '361', '838', '527']
['735', '691', '467', '562', '745', '449', '748', '847', '903', '168', '769', '709', '57', '503', '450', '268', '177', '832', '649', '247']
['200', '320', '635', '873', '383', '801', '366', '998', '609', '869', '700', '979', '256', '865', '907', '976', '416', '831', '228', '427']
