['226', '598', '229', '357', '31', '639', '48', '119', '423', '400', '682', '722', '343', '739', '629', '618', '570', '64', '198', '553', '590', '613', '281', '600', '391', '266', '49', '638', '743', '377', '95', '466', '686', '76', '449', '496', '240', '296', '560', '2', '374', '100', '575', '334', '52', '176', '392', '561', '536', '3']
['695', '366', '133', '713', '141', '709', '690', '90', '444', '4', '288', '398', '475', '589', '371', '703', '53', '195', '687', '735', '411', '733', '305', '509', '581', '350', '253', '172', '559', '443', '493', '309', '0', '580', '65', '648', '519', '394', '470', '701', '612', '736', '306', '440', '75', '201', '21', '158', '602', '316']
['546', '121', '242', '667', '421', '562', '326', '535', '114', '85', '433', '248', '206', '436', '510', '497', '317', '221', '427', '495', '24', '666', '498', '155', '452', '557', '620', '424', '42', '280', '116', '641', '415', '152', '382', '652', '446', '196', '300', '79', '170', '203', '360', '633', '171', '239', '145', '284', '33', '692']
['579', '566', '533', '376', '69', '108', '136', '62', '101', '327', '175', '113', '552', '218', '563', '264', '156', '246', '147', '732', '483', '189', '578', '135', '249', '725', '44', '315', '223', '183', '283', '381', '233', '670', '723', '245', '23', '71', '742', '484', '473', '352', '482', '699', '551', '200', '70', '308', '627', '416']
['410', '373', '455', '383', '513', '313', '302', '597', '503', '290', '569', '51', '585', '120', '702', '385', '439', '169', '712', '622', '724', '610', '587', '128', '162', '181', '339', '728', '634', '232', '504', '747', '123', '92', '528', '673', '543', '177', '259', '399', '693', '568', '7', '84', '180', '25', '606', '228', '583', '451']
['715', '697', '474', '406', '393', '737', '386', '448', '63', '269', '463', '505', '447', '235', '556', '257', '353', '607', '609', '434', '59', '66', '268', '623', '210', '710', '11', '86', '260', '9', '328', '46', '234', '347', '38', '45', '237', '412', '494', '178', '481', '492', '230', '564', '593', '395', '668', '700', '134', '605']
['112', '37', '81', '345', '256', '418', '507', '387', '372', '224', '472', '477', '677', '109', '363', '425', '719', '437', '251', '277', '78', '653', '127', '321', '318', '476', '548', '202', '8', '124', '656', '431', '55', '252', '409', '502', '527', '499', '694', '401', '718', '460', '14', '312', '192', '679', '359', '272', '672', '292']
['637', '368', '289', '730', '68', '54', '61', '617', '691', '291', '214', '299', '577', '419', '137', '676', '665', '417', '525', '243', '454', '204', '50', '384', '663', '711', '87', '501', '157', '89', '139', '615', '77', '43', '611', '572', '336', '344', '314', '489', '636', '105', '396', '93', '731', '380', '480', '215', '738', '320']
['285', '643', '624', '143', '671', '94', '332', '689', '15', '445', '297', '614', '518', '187', '16', '541', '19', '649', '34', '389', '465', '244', '130', '674', '27', '408', '684', '549', '675', '658', '262', '125', '462', '413', '58', '47', '632', '41', '173', '678', '138', '422', '211', '303', '151', '190', '364', '22', '104', '567']
['453', '286', '531', '457', '209', '319', '107', '197', '354', '584', '621', '651', '186', '338', '390', '642', '330', '29', '749', '727', '685', '279', '30', '102', '521', '625', '479', '238', '721', '110', '442', '405', '118', '500', '459', '161', '532', '131', '346', '704', '179', '661', '696', '122', '18', '13', '80', '160', '140', '544']
['571', '540', '655', '573', '707', '270', '490', '706', '103', '356', '261', '255', '295', '729', '217', '132', '469', '12', '574', '20', '361', '301', '432', '367', '323', '142', '82', '645', '565', '282', '716', '263', '524', '688', '428', '36', '635', '657', '650', '438', '461', '32', '537', '654', '616', '166', '236', '487', '298', '96']
['604', '534', '341', '619', '717', '5', '168', '516', '99', '355', '150', '207', '608', '726', '60', '194', '596', '542', '530', '515', '220', '73', '538', '456', '468', '708', '165', '539', '222', '40', '660', '265', '219', '582', '550', '351', '369', '734', '545', '225', '683', '464', '517', '628', '340', '403', '595', '547', '39', '275']
['335', '1', '640', '294', '199', '491', '720', '488', '603', '414', '426', '97', '508', '471', '337', '429', '358', '273', '293', '331', '529', '163', '91', '67', '287', '375', '646', '601', '98', '362', '506', '631', '558', '111', '576', '744', '144', '167', '153', '184', '185', '258', '311', '342', '348', '247', '594', '554', '741', '388']
['56', '370', '486', '514', '267', '669', '274', '378', '420', '188', '664', '365', '333', '241', '276', '307', '164', '681', '599', '555', '74', '278', '522', '213', '430', '271', '379', '748', '526', '402', '227', '231', '441', '588', '329', '148', '745', '458', '115', '10', '680', '26', '322', '586', '126', '740', '647', '523', '250', '407']
['520', '435', '397', '512', '478', '174', '28', '208', '644', '57', '88', '159', '83', '630', '35', '146', '191', '467', '746', '698', '404', '129', '310', '216', '662', '304', '149', '511', '659', '212', '154', '117', '182', '205', '705', '591', '324', '485', '72', '626', '592', '17', '450', '193', '714', '325', '106', '349', '254', '6']
