['20', '902', '434', '80', '785', '636', '474', '974', '339', '701', '951', '562', '919', '877', '546', '308', '876', '645', '278', '887', '74', '799', '252', '532', '39', '454', '380', '780', '927', '571', '670', '297', '202', '862', '679', '651', '605', '128', '889', '592', '610', '868', '962', '911', '827', '195', '890', '52', '13', '469']
['381', '438', '409', '392', '100', '505', '839', '130', '275', '697', '678', '49', '649', '260', '965', '985', '163', '117', '361', '288', '602', '279', '669', '192', '196', '904', '726', '917', '834', '513', '631', '520', '514', '722', '502', '179', '545', '540', '314', '455', '652', '402', '808', '853', '739', '140', '295', '872', '384', '496']
['242', '427', '347', '470', '647', '323', '771', '294', '313', '558', '744', '495', '296', '833', '175', '247', '460', '136', '517', '971', '820', '846', '152', '710', '412', '87', '892', '507', '468', '285', '7', '190', '181', '510', '504', '557', '14', '433', '174', '912', '804', '135', '424', '430', '59', '218', '993', '188', '389', '2']
['126', '81', '541', '515', '354', '801', '698', '663', '480', '665', '284', '608', '453', '326', '11', '62', '479', '684', '606', '659', '712', '619', '758', '106', '404', '198', '262', '989', '525', '241', '331', '777', '379', '725', '376', '885', '64', '133', '898', '150', '807', '806', '189', '33', '60', '699', '254', '940', '818', '204']
['82', '646', '186', '4', '184', '686', '311', '903', '444', '775', '358', '280', '607', '72', '467', '93', '863', '238', '391', '550', '694', '73', '408', '497', '527', '524', '809', '803', '740', '255', '345', '88', '315', '485', '209', '986', '125', '819', '566', '462', '113', '447', '304', '938', '596', '968', '763', '506', '324', '307']
['443', '406', '56', '418', '487', '624', '243', '187', '38', '435', '945', '946', '157', '101', '756', '503', '264', '9', '107', '861', '337', '544', '930', '959', '576', '352', '635', '452', '397', '368', '268', '165', '802', '754', '463', '856', '322', '508', '848', '845', '333', '729', '410', '394', '419', '609', '746', '748', '112', '79']
['96', '886', '908', '422', '10', '978', '613', '221', '172', '918', '372', '569', '920', '71', '742', '245', '979', '318', '949', '639', '482', '793', '982', '267', '349', '623', '291', '816', '417', '589', '689', '879', '947', '464', '223', '987', '425', '493', '774', '327', '685', '169', '936', '5', '988', '745', '629', '205', '423', '29']
['653', '915', '789', '676', '750', '761', '790', '884', '585', '411', '677', '910', '98', '998', '142', '483', '796', '236', '950', '858', '15', '668', '618', '182', '448', '70', '655', '855', '640', '276', '120', '873', '591', '65', '990', '864', '501', '426', '357', '58', '149', '901', '490', '632', '270', '634', '815', '47', '50', '44']
['692', '351', '272', '549', '787', '366', '108', '935', '942', '85', '838', '573', '360', '817', '215', '24', '900', '823', '741', '102', '143', '168', '193', '906', '403', '421', '537', '343', '766', '870', '534', '895', '921', '955', '484', '273', '231', '561', '614', '67', '516', '683', '570', '662', '122', '625', '105', '401', '478', '542']
['374', '896', '773', '436', '719', '362', '290', '518', '705', '375', '253', '538', '355', '711', '954', '465', '768', '717', '53', '121', '772', '976', '68', '176', '737', '706', '233', '219', '522', '548', '90', '509', '321', '378', '132', '286', '22', '248', '664', '673', '398', '660', '12', '34', '753', '19', '200', '732', '866', '568']
['367', '674', '638', '661', '382', '75', '194', '967', '703', '588', '203', '259', '759', '559', '805', '778', '760', '348', '299', '94', '390', '519', '180', '650', '587', '599', '693', '560', '206', '995', '365', '432', '928', '446', '779', '933', '61', '627', '437', '116', '529', '109', '842', '27', '312', '580', '439', '849', '232', '656']
['3', '894', '980', '440', '707', '166', '847', '511', '782', '387', '227', '147', '185', '991', '769', '249', '702', '531', '344', '564', '383', '110', '207', '341', '586', '251', '95', '708', '914', '328', '266', '271', '329', '115', '431', '792', '603', '852', '724', '567', '289', '212', '32', '616', '55', '798', '258', '235', '932', '364']
['797', '595', '923', '414', '752', '1', '191', '63', '622', '473', '764', '177', '16', '854', '256', '336', '696', '457', '738', '263', '124', '164', '428', '158', '69', '767', '476', '76', '718', '952', '37', '274', '621', '584', '733', '926', '922', '31', '715', '99', '869', '335', '35', '320', '441', '897', '226', '91', '293', '123']
['385', '395', '114', '590', '690', '604', '6', '413', '486', '265', '713', '830', '553', '346', '229', '499', '244', '36', '826', '878', '749', '825', '657', '283', '781', '865', '316', '981', '688', '225', '565', '734', '916', '666', '42', '167', '822', '161', '939', '103', '594', '17', '277', '23', '681', '836', '867', '700', '420', '224']
['400', '762', '396', '765', '144', '786', '183', '730', '210', '84', '731', '309', '416', '630', '941', '637', '369', '891', '104', '776', '250', '18', '791', '800', '154', '821', '131', '600', '234', '137', '269', '197', '220', '338', '89', '577', '332', '373', '574', '843', '691', '213', '554', '905', '572', '388', '119', '399', '983', '261']
['977', '405', '281', '597', '837', '282', '626', '325', '611', '893', '757', '298', '888', '494', '459', '228', '579', '716', '449', '57', '310', '958', '155', '292', '937', '472', '393', '966', '306', '363', '723', '353', '628', '543', '48', '145', '578', '601', '41', '111', '139', '972', '475', '217', '456', '563', '257', '882', '925', '429']
['471', '83', '523', '728', '539', '170', '996', '850', '598', '127', '899', '359', '86', '675', '909', '743', '667', '466', '246', '21', '216', '28', '953', '984', '556', '593', '961', '829', '658', '581', '237', '811', '551', '356', '582', '134', '784', '943', '859', '747', '795', '46', '222', '687', '330', '575', '770', '924', '709', '377']
['118', '929', '960', '461', '302', '963', '350', '26', '620', '129', '287', '156', '875', '500', '488', '300', '695', '755', '641', '407', '617', '814', '880', '680', '536', '840', '521', '77', '239', '477', '51', '644', '721', '301', '512', '643', '583', '714', '871', '342', '973', '874', '450', '948', '964', '956', '735', '612', '92', '334']
