['145', '220', '288', '329', '148', '227', '294', '493', '430', '63']
['270', '39', '338', '53', '357', '471', '246', '54', '275', '286']
['456', '295', '156', '48', '241', '385', '111', '284', '79', '399']
['277', '87', '447', '419', '252', '247', '146', '245', '110', '269']
['342', '254', '120', '141', '380', '438', '137', '360', '396', '106']
['368', '212', '481', '487', '176', '158', '374', '412', '492', '138']
['340', '234', '37', '413', '165', '370', '195', '23', '480', '316']
['445', '32', '410', '35', '242', '465', '199', '383', '408', '198']
['350', '6', '436', '209', '94', '13', '233', '305', '65', '349']
['473', '83', '208', '243', '12', '29', '352', '164', '20', '333']
['309', '102', '345', '407', '457', '224', '167', '132', '8', '377']
['458', '310', '249', '323', '98', '367', '372', '128', '56', '291']
['450', '31', '139', '382', '171', '402', '151', '226', '124', '11']
['322', '466', '58', '118', '155', '38', '216', '51', '339', '222']
['285', '278', '477', '10', '183', '103', '219', '95', '449', '178']
['159', '392', '122', '136', '356', '88', '451', '69', '485', '255']
['142', '386', '2', '97', '498', '253', '290', '85', '40', '263']
['213', '99', '62', '373', '318', '453', '384', '484', '221', '414']
['129', '81', '311', '42', '293', '117', '483', '86', '218', '93']
['461', '203', '43', '175', '177', '119', '57', '400', '235', '133']
['443', '125', '7', '282', '161', '417', '116', '19', '64', '9']
['335', '495', '197', '444', '60', '71', '96', '77', '113', '187']
['459', '147', '153', '312', '228', '301', '196', '463', '101', '162']
['181', '351', '442', '92', '188', '308', '401', '45', '55', '283']
['420', '296', '135', '424', '315', '72', '169', '143', '24', '354']
['439', '193', '362', '313', '300', '22', '68', '0', '337', '326']
['306', '261', '201', '289', '389', '336', '90', '121', '433', '298']
['393', '27', '358', '363', '488', '166', '217', '236', '126', '378']
['82', '394', '344', '114', '279', '257', '409', '302', '455', '80']
['448', '200', '452', '416', '267', '33', '472', '140', '441', '191']
['91', '446', '297', '371', '319', '34', '440', '170', '454', '426']
['366', '229', '476', '26', '262', '468', '307', '427', '115', '3']
['347', '154', '205', '343', '434', '179', '202', '421', '391', '303']
['437', '157', '287', '149', '21', '375', '265', '15', '67', '192']
['173', '47', '206', '108', '341', '490', '425', '14', '280', '210']
['469', '244', '89', '46', '190', '215', '172', '237', '105', '186']
['460', '314', '379', '404', '66', '134', '123', '163', '403', '180']
['230', '390', '240', '182', '355', '317', '361', '36', '281', '271']
['482', '207', '144', '320', '376', '369', '4', '211', '321', '299']
['131', '364', '76', '44', '185', '346', '59', '334', '327', '61']
['18', '189', '75', '330', '258', '359', '406', '324', '266', '387']
['415', '353', '432', '328', '5', '395', '331', '104', '73', '238']
['497', '70', '107', '411', '489', '231', '435', '496', '84', '292']
['223', '52', '168', '470', '41', '239', '431', '130', '388', '100']
['160', '464', '1', '272', '152', '49', '127', '397', '304', '16']
['405', '256', '276', '478', '428', '474', '491', '422', '348', '30']
['479', '475', '467', '274', '268', '232', '74', '494', '250', '184']
['225', '150', '204', '25', '423', '273', '78', '499', '50', '429']
['214', '260', '174', '365', '332', '109', '398', '381', '264', '17']
['259', '251', '325', '462', '418', '112', '248', '28', '486', '194']
