['514', '665', '63', '677', '547', '345', '129', '335', '175', '38']
['0', '161', '245', '512', '224', '233', '685', '241', '491', '122']
['721', '674', '211', '610', '33', '393', '489', '3', '381', '276']
['541', '362', '214', '134', '775', '633', '62', '79', '336', '207']
['60', '394', '646', '431', '706', '50', '523', '326', '520', '69']
['360', '724', '316', '257', '699', '356', '217', '107', '94', '372']
['696', '415', '240', '737', '729', '369', '655', '615', '409', '638']
['591', '126', '751', '680', '29', '475', '791', '479', '148', '684']
['660', '150', '450', '500', '159', '519', '194', '154', '72', '103']
['776', '311', '303', '756', '480', '435', '738', '583', '51', '531']
['747', '346', '16', '467', '277', '78', '664', '673', '361', '174']
['28', '196', '23', '532', '209', '765', '135', '4', '102', '616']
['278', '736', '651', '112', '453', '772', '534', '582', '463', '560']
['762', '195', '426', '567', '608', '402', '497', '331', '568', '557']
['476', '516', '726', '720', '782', '82', '170', '563', '380', '447']
['585', '769', '205', '390', '228', '329', '318', '45', '759', '197']
['548', '291', '325', '343', '25', '156', '462', '13', '53', '601']
['44', '188', '714', '385', '637', '408', '397', '298', '698', '252']
['260', '9', '259', '752', '376', '263', '546', '695', '612', '310']
['407', '213', '36', '286', '750', '766', '73', '204', '307', '141']
['417', '438', '367', '373', '123', '21', '281', '499', '572', '210']
['248', '628', '727', '538', '564', '603', '349', '622', '88', '733']
['786', '472', '202', '749', '631', '2', '322', '181', '391', '513']
['116', '139', '100', '306', '236', '562', '74', '290', '464', '676']
['41', '332', '509', '439', '184', '227', '647', '421', '799', '19']
['524', '588', '461', '427', '363', '517', '624', '106', '70', '620']
['57', '571', '275', '267', '77', '781', '701', '416', '503', '551']
['533', '279', '671', '160', '270', '697', '131', '784', '639', '166']
['535', '273', '182', '492', '746', '348', '644', '470', '140', '482']
['296', '370', '11', '137', '625', '261', '465', '404', '34', '528']
['466', '574', '35', '659', '98', '333', '232', '350', '223', '359']
['770', '626', '192', '244', '544', '650', '313', '440', '682', '401']
['668', '441', '157', '649', '521', '328', '317', '686', '420', '530']
['777', '792', '712', '71', '575', '502', '321', '43', '419', '705']
['399', '120', '186', '101', '504', '234', '569', '596', '198', '119']
['54', '679', '537', '753', '114', '167', '301', '6', '594', '132']
['455', '395', '434', '299', '366', '785', '68', '732', '357', '176']
['145', '87', '354', '632', '351', '52', '627', '723', '700', '66']
['654', '719', '302', '689', '600', '168', '124', '754', '565', '185']
['515', '694', '793', '798', '428', '37', '607', '179', '64', '411']
['590', '619', '201', '144', '460', '780', '294', '507', '406', '284']
['171', '342', '254', '49', '739', '561', '229', '20', '283', '226']
['10', '511', '324', '444', '365', '330', '164', '265', '143', '95']
['536', '763', '484', '7', '246', '690', '436', '31', '24', '15']
['704', '271', '586', '374', '308', '451', '133', '598', '91', '250']
['661', '454', '312', '790', '742', '55', '542', '713', '657', '344']
['27', '717', '153', '614', '309', '147', '65', '443', '795', '375']
['387', '253', '353', '771', '579', '710', '555', '605', '138', '708']
['121', '469', '32', '566', '149', '110', '748', '477', '474', '643']
['413', '589', '675', '405', '125', '403', '371', '199', '8', '635']
['648', '111', '5', '485', '549', '526', '457', '543', '40', '243']
['315', '130', '169', '285', '488', '90', '471', '540', '377', '636']
['446', '518', '778', '634', '340', '89', '570', '662', '320', '487']
['490', '314', '191', '640', '264', '203', '493', '691', '368', '30']
['115', '779', '12', '80', '46', '761', '218', '200', '442', '81']
['672', '506', '422', '576', '783', '398', '22', '764', '741', '788']
['251', '136', '656', '247', '735', '383', '758', '187', '424', '337']
['429', '789', '658', '158', '109', '437', '740', '702', '760', '423']
['458', '745', '584', '468', '448', '722', '613', '666', '378', '155']
['152', '297', '456', '597', '452', '595', '744', '473', '505', '165']
['339', '645', '183', '414', '630', '163', '623', '237', '287', '193']
['667', '743', '96', '305', '559', '221', '180', '774', '498', '327']
['382', '718', '578', '269', '288', '621', '692', '118', '105', '304']
['352', '128', '386', '84', '212', '338', '731', '389', '728', '670']
['592', '617', '554', '481', '99', '510', '611', '522', '268', '527']
['734', '172', '552', '151', '86', '794', '48', '715', '396', '282']
['272', '242', '501', '355', '653', '483', '230', '767', '289', '108']
['47', '1', '525', '478', '92', '430', '486', '280', '556', '449']
['225', '262', '433', '235', '604', '220', '379', '266', '274', '573']
['550', '730', '768', '709', '177', '255', '755', '400', '687', '577']
['17', '58', '67', '688', '711', '206', '117', '113', '693', '707']
['249', '663', '215', '295', '787', '358', '76', '418', '14', '18']
['445', '593', '602', '678', '75', '716', '323', '173', '222', '93']
['796', '42', '56', '347', '142', '508', '388', '425', '292', '599']
['319', '364', '529', '797', '725', '683', '239', '127', '104', '496']
['652', '495', '553', '219', '61', '757', '190', '189', '642', '231']
['97', '587', '384', '581', '703', '432', '545', '681', '59', '392']
['641', '208', '293', '558', '341', '146', '539', '609', '216', '494']
['629', '580', '412', '410', '83', '258', '606', '300', '334', '85']
['238', '618', '459', '669', '773', '26', '256', '39', '178', '162']
