['797', '218', '377', '307', '625', '807', '826', '907', '540', '419', '452', '776', '247', '924', '822', '61', '680', '538', '838', '517', '786', '132', '504', '674', '960', '269', '646', '344', '301', '164', '491', '812']
['986', '414', '512', '795', '964', '681', '554', '31', '382', '253', '336', '25', '106', '120', '273', '180', '93', '717', '579', '203', '70', '894', '346', '131', '798', '886', '664', '361', '686', '701', '904', '243']
['304', '781', '103', '468', '35', '917', '605', '265', '712', '576', '528', '710', '155', '529', '571', '567', '350', '764', '293', '221', '101', '927', '398', '79', '967', '762', '749', '303', '561', '439', '604', '714']
['547', '684', '995', '331', '30', '825', '884', '846', '270', '497', '530', '965', '847', '663', '493', '313', '33', '915', '982', '558', '857', '252', '24', '59', '282', '875', '248', '178', '921', '893', '598', '145']
['556', '980', '380', '224', '81', '384', '306', '615', '510', '507', '183', '458', '611', '129', '174', '250', '635', '676', '521', '240', '958', '50', '110', '670', '446', '711', '863', '212', '87', '985', '666', '268']
['689', '83', '792', '534', '837', '220', '14', '272', '333', '679', '938', '92', '833', '200', '633', '348', '352', '342', '738', '536', '586', '274', '435', '363', '276', '150', '65', '895', '244', '630', '546', '799']
['620', '802', '606', '457', '527', '167', '207', '944', '142', '60', '470', '355', '953', '896', '309', '230', '559', '353', '151', '872', '992', '889', '144', '410', '115', '990', '583', '810', '970', '379', '760', '259']
['267', '587', '375', '335', '542', '53', '862', '456', '500', '565', '404', '102', '511', '197', '124', '257', '104', '574', '332', '975', '545', '916', '934', '201', '594', '789', '376', '734', '682', '885', '118', '514']
['876', '232', '364', '879', '302', '485', '926', '616', '394', '315', '645', '691', '766', '771', '702', '11', '339', '539', '312', '89', '264', '405', '505', '720', '445', '153', '194', '502', '215', '337', '648', '836']
['610', '189', '669', '109', '347', '585', '319', '929', '532', '818', '603', '329', '631', '12', '15', '685', '581', '704', '597', '513', '590', '390', '640', '100', '952', '835', '496', '870', '343', '392', '750', '693']
['271', '479', '214', '672', '659', '761', '769', '409', '692', '430', '881', '143', '475', '365', '75', '718', '858', '732', '522', '320', '721', '138', '280', '32', '728', '595', '552', '999', '697', '236', '366', '316']
['709', '370', '96', '498', '584', '449', '242', '901', '389', '494', '406', '436', '774', '473', '987', '165', '806', '182', '349', '572', '842', '245', '465', '573', '411', '340', '198', '644', '902', '568', '85', '483']
['943', '756', '386', '892', '824', '939', '989', '261', '234', '815', '607', '388', '84', '94', '878', '7', '91', '698', '327', '195', '128', '503', '441', '724', '262', '107', '209', '90', '628', '362', '800', '871']
['179', '119', '627', '643', '451', '922', '279', '541', '811', '341', '192', '356', '378', '387', '951', '444', '28', '963', '739', '937', '787', '736', '113', '856', '707', '126', '391', '515', '840', '204', '887', '582']
['249', '67', '286', '637', '255', '499', '936', '997', '973', '848', '217', '741', '219', '290', '563', '874', '481', '778', '903', '193', '181', '854', '433', '374', '613', '784', '51', '168', '484', '706', '206', '730']
