['176', '426', '264', '24', '386', '122', '460', '223', '349', '341']
['54', '259', '309', '85', '93', '375', '451', '371', '325', '58']
['174', '291', '147', '187', '104', '419', '382', '481', '282', '250']
['274', '160', '356', '320', '302', '260', '204', '130', '227', '389']
['479', '324', '430', '373', '166', '152', '489', '207', '283', '199']
['497', '338', '284', '161', '212', '140', '340', '296', '146', '492']
['370', '487', '355', '312', '354', '132', '129', '330', '30', '376']
['388', '60', '256', '17', '490', '276', '285', '222', '144', '141']
['100', '235', '415', '96', '119', '193', '134', '86', '463', '217']
['429', '22', '428', '98', '392', '345', '205', '41', '117', '469']
['95', '299', '465', '251', '255', '474', '310', '226', '0', '480']
['343', '75', '178', '106', '80', '288', '230', '228', '374', '50']
['439', '265', '154', '328', '248', '2', '131', '484', '417', '44']
['77', '28', '434', '319', '89', '457', '414', '21', '156', '378']
['363', '431', '214', '318', '461', '10', '221', '188', '410', '97']
['177', '440', '171', '306', '391', '39', '398', '232', '196', '499']
['124', '168', '4', '231', '468', '379', '262', '337', '179', '175']
['142', '74', '197', '407', '423', '194', '447', '209', '369', '267']
['241', '366', '6', '271', '441', '111', '185', '148', '498', '437']
['38', '316', '236', '118', '243', '311', '432', '352', '331', '182']
['272', '270', '399', '90', '133', '63', '229', '351', '435', '55']
['51', '467', '344', '247', '23', '172', '155', '43', '287', '295']
['452', '69', '138', '281', '47', '71', '165', '263', '239', '462']
['149', '421', '315', '1', '14', '245', '365', '292', '169', '109']
['163', '329', '470', '9', '361', '52', '83', '396', '220', '115']
['308', '393', '244', '198', '190', '476', '383', '300', '335', '68']
['203', '443', '453', '425', '445', '327', '238', '269', '108', '120']
['313', '408', '321', '62', '472', '208', '18', '143', '397', '128']
['277', '76', '53', '478', '45', '286', '448', '170', '483', '211']
['364', '458', '82', '87', '314', '456', '436', '3', '353', '390']
['385', '372', '418', '446', '416', '31', '201', '339', '218', '101']
['301', '125', '406', '32', '411', '48', '19', '88', '293', '126']
['73', '8', '42', '395', '491', '317', '159', '347', '107', '246']
['66', '486', '99', '110', '137', '362', '103', '450', '59', '413']
['249', '258', '46', '333', '157', '35', '268', '92', '297', '433']
['357', '200', '280', '261', '184', '405', '233', '485', '37', '34']
['412', '81', '91', '189', '422', '72', '342', '105', '242', '15']
['139', '442', '150', '326', '482', '237', '346', '304', '224', '493']
['464', '477', '438', '181', '123', '16', '294', '444', '380', '240']
['11', '26', '213', '360', '289', '135', '57', '409', '266', '427']
['61', '195', '454', '307', '191', '323', '350', '65', '186', '210']
['298', '466', '420', '367', '183', '305', '180', '322', '488', '234']
['253', '116', '192', '400', '5', '278', '368', '70', '254', '64']
['394', '114', '494', '404']
['173', '127', '151', '358', '79', '332', '401', '348']
['49', '121', '219', '387', '25', '153', '424', '167', '257', '471']
['495', '12', '216', '381', '206', '78', '252', '384', '158', '403']
['7', '377', '402', '67', '359', '225', '36', '459']
['113', '162', '334', '303', '94', '102', '13', '275', '215', '56']
['20', '112', '164', '145', '449', '40', '290', '336', '202', '496']
['27', '455', '475', '33', '136', '279', '84', '273', '473', '29']
