['718', '356', '843', '268', '814', '652', '410', '402', '783', '510', '612', '184', '284', '241', '248', '278', '943', '570', '316', '449', '798', '705', '183', '134', '800', '282', '129', '445', '375', '418', '752', '511', '513', '964', '776', '764', '229', '862', '516', '111', '514', '760', '962', '236', '809', '960', '73', '444', '879', '136']
['28', '33', '915', '95', '300', '887', '994', '949', '714', '19', '498', '468', '295', '593', '911', '289', '309', '69', '842', '780', '554', '240', '610', '591', '724', '743', '968', '35', '273', '456', '584', '178', '802', '569', '657', '970', '324', '454', '156', '847', '589', '775', '450', '448', '401', '677', '680', '671', '679', '861']
['582', '436', '821', '978', '565', '341', '782', '729', '232', '264', '254', '126', '403', '706', '611', '85', '687', '351', '920', '501', '108', '876', '910', '895', '665', '93', '980', '890', '400', '49', '176', '971', '500', '491', '825', '989', '168', '280', '354', '686', '756', '252', '170', '961', '884', '777', '721', '303', '655', '207']
['508', '638', '504', '148', '594', '48', '25', '223', '235', '829', '617', '562', '275', '112', '210', '867', '4', '338', '965', '463', '90', '959', '224', '839', '948', '995', '475', '329', '415', '925', '250', '601', '992', '212', '983', '736', '376', '494', '627', '586', '202', '423', '567', '661', '270', '29', '162', '727', '793', '629']
['810', '247', '218', '710', '522', '318', '853', '521', '768', '91', '645', '781', '464', '437', '784', '523', '419', '365', '503', '622', '486', '373', '42', '766', '101', '458', '330', '215', '649', '367', '741', '477', '893', '348', '304', '299', '746', '152', '434', '386', '374', '762', '771', '855', '204', '387', '262', '882', '987', '396']
['372', '476', '717', '296', '707', '566', '728', '431', '253', '70', '512', '412', '641', '881', '902', '227', '438', '461', '725', '121', '313', '984', '732', '785', '411', '889', '597', '80', '124', '787', '104', '592', '738', '404', '161', '237', '720', '41', '94', '973', '46', '443', '898', '258', '361', '518', '709', '618', '432', '644']
['719', '132', '288', '143', '398', '735', '336', '836', '722', '440', '875', '100', '377', '389', '765', '763', '465', '99', '175', '520', '748', '472', '858', '405', '276', '688', '209', '769', '700', '109', '596', '673', '390', '478', '625', '912', '696', '963', '753', '362', '750', '745', '165', '703', '366', '388', '886', '662', '13', '957']
['733', '834', '347', '157', '92', '221', '308', '699', '64', '851', '487', '71', '892', '993', '244', '144', '863', '106', '883', '672', '346', '245', '937', '97', '133', '797', '799', '439', '311', '868', '174', '293', '664', '555', '378', '955', '681', '484', '900', '734', '891', '544', '870', '819', '773', '865', '877', '420', '302', '933']
['286', '6', '26', '634', '835', '381', '678', '206', '828', '23', '489', '298', '120', '328', '682', '817', '663', '600', '579', '772', '530', '155', '331', '571', '225', '283', '128', '774', '896', '944', '473', '685', '951', '442', '888', '22', '794', '153', '620', '975', '228', '230', '560', '260', '805', '808', '460', '103', '179', '563']
['907', '816', '635', '497', '585', '528', '368', '759', '547', '249', '483', '921', '537', '841', '630', '27', '827', '608', '577', '89', '320', '615', '605', '872', '350', '922', '462', '786', '711', '667', '15', '371', '110', '496', '792', '306', '739', '749', '588', '693', '200', '164', '803', '692', '310', '416', '905', '259', '337', '807']
['20', '919', '651', '751', '63', '689', '587', '394', '105', '998', '568', '595', '355', '119', '904', '701', '459', '137', '598', '795', '58', '287', '271', '393', '708', '352', '524', '603', '189', '509', '885', '621', '290', '60', '332', '857', '349', '79', '572', '39', '323', '82', '414', '81', '9', '966', '779', '399', '135', '740']
['234', '363', '974', '446', '291', '203', '301', '430', '668', '929', '357', '242', '928', '576', '343', '923', '122', '574', '205', '616', '333', '818', '59', '160', '305', '654', '967', '345', '467', '939', '986', '653', '908', '917', '195', '364', '946', '57', '822', '263', '231', '265', '125', '869', '479', '676', '581', '969', '788', '507']
['171', '754', '185', '226', '988', '177', '525', '83', '850', '650', '17', '429', '34', '704', '806', '261', '130', '954', '985', '820', '54', '408', '648', '344', '557', '294', '845', '18', '12', '5', '936', '102', '52', '982', '145', '997', '578', '426', '391', '942', '116', '98', '16', '281', '683', '407', '548', '353', '74', '791']
