['369', '490', '672', '761', '445', '131', '331', '612', '250', '617', '569', '152', '212', '558', '744', '136', '367', '587', '156', '297', '343', '640', '398', '514', '46', '753', '55', '762', '439', '533', '611', '151']
['519', '104', '274', '608', '747', '727', '549', '483', '518', '422', '798', '105', '225', '70', '576', '522', '110', '141', '491', '377', '103', '692', '776', '347', '209', '277', '395', '579', '262', '389', '248', '170']
['211', '621', '486', '505', '645', '713', '456', '484', '603', '504', '418', '578', '565', '279', '641', '685', '793', '396', '742', '493', '571', '61', '691', '90', '119', '346', '626', '298', '123', '442', '472', '716']
['190', '204', '660', '177', '184', '425', '658', '559', '263', '335', '247', '32', '482', '675', '535', '35', '127', '697', '81', '488', '616', '163', '428', '246', '477', '534', '280', '173', '168', '421', '748', '311']
['74', '37', '223', '230', '480', '138', '235', '38', '463', '721', '175', '767', '272', '654', '795', '354', '757', '120', '629', '427', '552', '226', '390', '642', '524', '26', '383', '309', '655', '502', '659', '794']
['366', '308', '570', '652', '681', '162', '321', '773', '218', '470', '316', '87', '361', '2', '690', '10', '238', '411', '468', '625', '651', '165', '109', '437', '665', '671', '525', '337', '536', '532', '282', '678']
['77', '706', '778', '210', '63', '755', '529', '149', '607', '85', '446', '186', '730', '150', '99', '600', '233', '679', '639', '220', '72', '312', '618', '19', '376', '82', '635', '540', '264', '379', '560', '782']
['134', '494', '322', '512', '79', '438', '605', '17', '200', '779', '253', '142', '668', '492', '485', '460', '750', '458', '694', '424', '345', '386', '241', '254', '52', '197', '269', '561', '118', '459', '292', '497']
['589', '684', '462', '592', '584', '112', '676', '556', '530', '435', '167', '399', '594', '543', '397', '722', '615', '548', '266', '417', '9', '172', '276', '373', '324', '237', '106', '133', '496', '47', '380', '294']
['24', '84', '409', '325', '53', '573', '357', '547', '677', '12', '539', '166', '452', '180', '631', '374', '349', '222', '751', '596', '356', '799', '551', '372', '4', '453', '737', '487', '610', '567', '653', '391']
['400', '682', '712', '797', '648', '67', '193', '729', '656', '232', '88', '130', '601', '302', '244', '405', '125', '60', '8', '620', '183', '537', '327', '433', '526', '224', '583', '368', '414', '252', '287', '214']
['317', '429', '68', '564', '45', '724', '348', '29', '728', '538', '20', '295', '443', '732', '553', '434', '100', '581', '66', '602', '158', '229', '590', '699', '34', '154', '714', '164', '406', '300', '304', '574']
['129', '701', '299', '633', '208', '43', '251', '122', '595', '153', '628', '401', '622', '515', '310', '412', '474', '213', '478', '94', '40', '65', '735', '319', '307', '260', '440', '566', '370', '176', '155', '179']
['338', '702', '259', '206', '36', '758', '531', '56', '403', '517', '160', '50', '720', '754', '98', '498', '471', '191', '777', '392', '234', '407', '242', '604', '102', '789', '669', '198', '568', '687', '187', '717']
['207', '619', '289', '44', '743', '228', '696', '609', '161', '135', '624', '469', '39', '441', '144', '432', '353', '328', '582', '593', '101', '575', '402', '178', '785', '415', '448', '268', '255', '473', '466', '775']
['563', '674', '293', '205', '503', '16', '339', '174', '243', '332', '786', '772', '686', '449', '330', '249', '219', '59', '673', '227', '657', '91', '92', '636', '313', '520', '76', '489', '723', '195', '710', '528']
['506', '734', '362', '464', '527', '344', '15', '143', '28', '27', '378', '647', '355', '0', '562', '495', '718', '726', '137', '416', '787', '318', '188', '766', '523', '41', '394', '404', '358', '436', '21', '80']
['245', '49', '703', '375', '126', '774', '430', '107', '393', '334', '258', '413', '752', '501', '69', '637', '577', '450', '194', '169', '326', '385', '749', '381', '284', '352', '516', '3', '342', '643', '146', '408']
['507', '768', '638', '333', '116', '96', '231', '371', '461', '201', '521', '500', '588', '185', '508', '555', '695', '285', '97', '662', '708', '314', '199', '320', '431', '387', '780', '305', '475', '455', '447', '426']
['189', '363', '739', '479', '788', '86', '115', '630', '661', '202', '454', '667', '731', '290', '270', '623', '5', '286', '663', '128', '545', '365', '83', '221', '71', '509', '591', '680', '554', '544', '465', '148']
['11', '420', '510', '296', '256', '546', '182', '423', '75', '281', '666', '236', '340', '644', '646', '291', '650', '683', '351', '336', '323', '388', '171', '147', '771', '765', '54', '740', '796', '719', '62', '42']
['572', '598', '203', '114', '217', '756', '93', '634', '457', '792', '145', '117', '476', '215', '709', '707', '704', '763', '733', '664', '760', '57', '467', '111', '350', '121', '597', '64', '481', '586', '606', '303']
['741', '745', '261', '113', '30', '738', '693', '58', '1', '18', '451', '48', '360', '384', '499', '511', '613', '240', '216', '419', '301', '7', '181', '759', '688', '614', '73', '13', '139', '632', '599', '273']
['736', '513', '715', '542', '557', '410', '783', '746', '359', '698', '764', '791', '192', '25', '329', '784', '108', '124', '700', '444', '790', '725', '550', '271', '541', '364', '265', '585', '132', '196', '769', '649']
['22', '278', '78', '239', '275', '159', '705', '770', '781', '283', '51', '6', '689', '670', '315', '140', '341', '14', '267', '711', '580', '89', '288', '95', '627', '23', '31', '382', '33', '257', '306', '157']
